,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"Three of these animals hibernate. Which one does not?
",Mouse,Sloth,Frog,Snake,Sloth
1,"All of these animals are omnivorous except one.
",Fox,Mouse,Opossum,Snail,Snail
2,"Three of these Latin names are names of bears. Which is the odd one?
",Melursus ursinus,Helarctos malayanus,Ursus minimus,Felis silvestris catus,Felis silvestris catus
3,"These are typical Australian animals except one.
",Platypus,Dingo,Echidna,Sloth,Sloth
4,"Representatives of three of these species produce venom of their own. Which is the odd species?
",Lizards,Scorpions,Frogs,Mosquitos,Mosquitos
5,"Three of these species shed their skin. Which one does not?
",Penguins,Snakes,Insects,Crustaceans,Penguins
6,"All dogs, cats and birds are colorblind.
",True,False,,,False
7,"All of these animals have large ears (relative to their size) except one.
",Polar bears,Foxes,Bats,Elephants,Polar bears
8,"This percentage of all snakes on Earth are lethal to humans.
",10%,20%,15%,25%,15%
9,"Snakes are this kind of animals.
",Herbivorous,Omnivorous,Carnivorous,Vegetarian,Carnivorous
10,"Snakes consume their food by means of this process.
",Breathing,Absorption,Swallowing,Chewing,Swallowing
11,"Snakes reproduce only by laying eggs.
",True,False,,,False
12,"Snakes are deaf.
",True,False,,,True
13,"Snake skin is covered in scales.
",True,False,,,True
14,"Snakes belong to the following category.
",Invertebrates,Lizards,Reptiles,Mammals,Reptiles
15,"A specialist in snakes is called one of these.
",Pisciculturist,Ornithologist,Ophiologist,Herpetologist,Ophiologist
16,"One of the following snakes does not belong to the Viperidae family.
",Horned adder,Grass snake,Viper,Asp,Grass snake
17,"Snakes are very likely to attack us, regardless of whether they feel threatened or not.
",True,False,,,False
18,"Cobras are venomous snakes of family Elapidae, that generally inhabit regions of these two continents.
",South America and Asia,Asia and Africa,Asia and Australia,South America and Australia,Asia and Africa
19,"The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.
",Balance control,Heat collection from sun rays,Camouflage,More threatening appearance,More threatening appearance
20,"The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.
",Jackal,Mongoose,Lynx,Eagle,Mongoose
21,"This is where the Cobras ribs are situated.
",Behind its head,"In its chest, around the middle of the body",Cobras have no ribs,In its tale,Behind its head
22,"The King Cobra feeds almost exclusively on other snakes, even toxic ones.
",True,False,,,True
23,"A baby cobra is fully able to defend itself in as little as this many hours after being born.
",3,12,48,72,3
24,"What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?
",German Shepherd,Cocker Spaniel,Golden Retriever,Welsh Corgy,Cocker Spaniel
25,"What was the name of Socks companion at the White House during the Clinton Administration?
",Buddy,Shoes,Bailey,Buster,Buddy
26,"President Fords dog was named Freedom.
",False,True,,,False
27,"Which of these Presidents had the most pets?
",Franklin Delano Roosevelt,Theodore Roosevelt,Bill Clinton,Woodrow Wilson,Theodore Roosevelt
28,"What breed is known as the favourite breed of Queen Elizabeth II?
",Border Collie,Old English Sheepdog,Welsh Corgi,Australian Cattle Dog,Welsh Corgi
29,"What was the name of Fraisers fathers dog on the hit TV show set in Seattle?
",Niles,Marty,Eddie,Skip,Eddie
30,"Which one of these sea mammals is not in the endangered species lists?
",Fin Whale,Pilot whale,Blue Whale,Humpback Whale,Pilot whale
31,"This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).
",Leatherback Sea Turtle,Kemps Ridley Turtle,Hawksbill Sea Turtle,Mesoamerican River Turtle,Leatherback Sea Turtle
32,"Name the rarest and most endangered of all wolves.
",Red Wolf,Ethiopian Wolf,Black-backed Wolf,Gray Wolf,Red Wolf
33,"The endangered Komodo dragon is the largest living lizard in the world, growing to an average length of 2-3 meters (10 feet).
",False,True,,,True
34,"This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires.
",Gorilla,Baboons,Orangutan,Chimpanzee,Orangutan
35,"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?
",North America,Central Asia and North America,Central Asia,Europe and North America,Central Asia
36,"The Asian Elephant, the only living species of the genus Elephas, is the bigger relative of the African Elephant.
",True,False,,,False
37,"This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world.
",Ganges River Dolphin,Chinese River Dolphin,La Plata Dolphin,Amazon River Dolphin,Chinese River Dolphin
38,"This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.
",Cape Fox,Red Fox,Bengal Fox,Fennec,Fennec
39,"Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?
",North America,Australia,Africa,Asia,Australia
40,"This small, graceful member of the antelope family is an extraordinary jumper - while leaping, it touches the rocky terrain of its South African habitats only with the tip of its hooves, resembling a dance.
",Oribi,Roan Antelope,Scimitar Oryx,Klipspringer,Klipspringer
41,"Although the jumping viper, a chiefly nocturnal snake, is one of the most powerful jumpers of the snake family, capable of rising up to 1 meter (3 feet) during a strike, its poison is not lethal to humans.
",False,True,,,False
42,"Zoophobia is the fear of animals.
",True,False,,,True
43,"The hummingbird is the worlds smallest bird.
",False,True,,,True
44,"Which of these animals swims the fastest?
",Flounder,Shark,Dolphin,Jellyfish,Dolphin
45,"Which word refers to the sound peacocks make?
",Scream,Squill,Squeak,Squall,Scream
46,"Ancient Japanese thought this animal caused earthquakes.
",Birds,Spiders,Snakes,Frogs,Spiders
47,"How many types of bats are there?
",900,700,500,200,900
48,"Chocolate cannot kill a dog.
",True,False,,,False
49,"This animal can clean its own ears with its 21-inch tongue.
",Lizard,Elephant,Lion,Giraffe,Giraffe
50,"It has been estimated that in Australia, there are about twice as many kangaroos as there are people.
",True,False,,,True
51,"What is the fastest animal on 6 legs?
",Ladybug,Cockroach,Beetle,Ant,Cockroach
52,"Sheep are similar to cows in that they have a stomach which contains four chambers.
",False,True,,,True
53,"What is a female sheep called or known as?
",ewe,colt,fleece,ram,ewe
54,"What is the white tigers scientific name?
",Pantha,Panthera tigis,Panthera tiger,Panthera tigris,Panthera tigris
55,"Can tigers live to be 20 years old?
",Yes,No,,,Yes
56,"All tigers have stripes.
",False,True,,,False
57,"Which of the following is not a type of chipmunk?
",Bushy-tailed,Long-eared,Eastern,Sonoma,Bushy-tailed
58,"Which of these is not an actual breed of horse?
",Sioux,Russian Trotter,Belgian,Murgese,Sioux
59,"Which of the following is not a breed of dog?
",Pom-a-poo,Lakeland terrier,Fox terrier,Ferret terrier,Ferret terrier
60,"One of these is not a true breed of cat. Which one?
",Pixie-bob,Maine coon,Ragdoll,French Twist,French Twist
61,"Which of these is not a type of beetle?
",Long-horn beetle,Stag beetle,Flea beetle,Burrowing beetle,Burrowing beetle
62,"Which of the following is not a type of spider?
",Glass spider,Trapdoor spider,Brown recluse spider,Bird-dropping spider,Glass spider
63,"All but one of the following are true types of bears. Which is the odd one?
",Moon bear,Brown bear,Black bear,Sun bear,Moon bear
64,"Which of these is not an actual breed of sheep?
",Scottish black-face,Dakota,Hampshire,Merino,Dakota
65,"One of these is not a true breed of chicken. Which one?
",Hamburg,Plymouth Rock,Leghorn,Red-tailed,Red-tailed
66,"Which of the following is not a breed of pig?
",Norwegian Yorkshire,Vietnamese pot-belly,Ridgeback,Tokyo-X,Ridgeback
67,"What is a group of lions called?
",Family,Group,School,Pride,Pride
68,"There are more males then females in a pride.
",False,True,,,False
69,"Generally, how many times in an interval of 5 hours do lions mate?
",1,5,20,10,10
70,"What is the breed of animal created from the crossing of a male lion and a female tiger?
",Tigon,Tiges,Ligon,Liger,Liger
71,"What is the breed of animal created from the crossing of a female lion and a male tiger?
",Tigen,Liger,Tigon,Liges,Tigon
72,"What do male lions have which females do not possess?
",An extra tooth,A mane,Longer nails,Distinguished eyes,A mane
73,"What is the average lifespan of a lion living in the wild?
",20 - 30 years,Less than 10 years,10 -15 years,Greater than 30 years,10 -15 years
74,"Are male lions are generally stronger then female lions?
",No,Yes,,,Yes
75,"Female lions hunt in a group.
",False,True,,,True
76,"Cats twitch the tips of their tails slightly when hunting or when angry, while stronger twitching indicates what?
",Stress,Displeasure,Boredom,Playfulness,Displeasure
77,"If a cat pushes its face against your head, this means what?
",Impatience,Submission,Acceptance,Aggression,Acceptance
78,"Cats generally purr when they are happy, but they can also be heard purring in what other situation?
",When they are distressed or in pain,When they are hunting or playing,When they are hungry or thirsty,When they are lonely or angry,When they are distressed or in pain
79,"How many different vocalization sounds does a cat make?
",100,200,50,150,100
80,"All cats are born with green eyes.
",True,False,,,False
81,"A cats front paws have 5 toes and their back paws have 4.
",False,True,,,True
82,"What was the largest  eagle ever found on Earth?
",Golden Eagle,Haasts Eagle,Harpy Eagle,Bald Eagle,Haasts Eagle
83,"Which term refers to the group formed by frogs and amphibians?
",Drosophillia,Herps,Mollusks,Nematodes,Herps
84,"Which statement about elephants is untrue?
",Elephants sleep standing up,Elephants cry,There are some pink elephants in India,Elephants do not have great memories,Elephants do not have great memories
85,"All pigs are classified as un-Kosher meaning they can not be eaten by Jewish people.
",True,False,,,False
86,"What is alektorophobia?
",The unreasonable fear of birds of prey,The unreasonable fear of roaches,The unreasonable fear of chickens,The unreasonable fear of sharks,The unreasonable fear of chickens
87,"How do scientists calculate the age of a fish?
",They count all the teeth in the fishs mouth.,They measure the size of the fish and compare that to the average size of that type of  fish.,They count the growth rings on the ear bone.,They count the teeth in the fishs lower lip.,They count the growth rings on the ear bone.
88,"Pound for pound, humans are not the strongest animals. What is considered the strongest species, pound for pound?
",The Hercules beetle,The leaf-cutting ant,The red ant,The atlas roach,The Hercules beetle
