,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"In what fictional city is the TV show Futurama set?
",New Chicago,New New York,New San Francisco,None of these,New New York
1,"What is the lowest ranking species in the Covenant hierarchy in the Halo series?
",Drone,Brute,Elite,Grunt,Grunt
2,"Who controls the Flood in the Halo series?
",Gravemind,The Prophet of Truth,The Arbiter,No one,Gravemind
3,"What is a SPARTAN in the Halo series?
",A Genetically modified super soldier,A higher ranking soldier than a ODST,Troopers that went through military training at the age of five,All of these,All of these
4,"What species is the Didact in the Halo series?
",Forerunner,Precursor,Promethean,Yamne,Forerunner
5,"In the Halo series, Zealots use Energy Swords.
",True,False,,,True
6,"Which of the following does the UNSC use to transport troops in the halo series?
",Falcons,Hornets,Phantoms,Pelicans,Pelicans
7,"What does UNSC stand for in the Halo series?
",None of the above,United Nations Space Council,United Nations Space Command,Unified Nations Supreme Court,United Nations Space Command
8,"What is the largest UNSC ship in the Halo series?
",UNSC In Amber Clad,UNSC Infinity,UNSC Spirit of Fire,UNSC Pillar of Autumn,UNSC Infinity
9,"What city does Halo 3 ODST take place in?
",Voi,New Mombasa,Toronto,New York,New Mombasa
10,"What is the largest species of the Covenant in the Halo series?
",Brute,Hunter,Jackal,Elite,Hunter
11,"Who made the fictional Mother Brain and for what purpose?
",The Galactic Federation built her as a next generation Aurora Unit.,It is unknown who made her but she was made to control Zebes.,The Space Pirates built her to be one of their generals.,The Chozo built her to be a organic Supercomputer.,The Chozo built her to be a organic Supercomputer.
12,"How did the Alimbics become extinct in the Metroid series?
",They discovered Phazon and developed Phazon Madness causing them to wipe each other out.,Gorea wiped them out.,The entire species used up their life energy to imprison Gorea.,The Metroids wiped them out.,The entire species used up their life energy to imprison Gorea.
13,"What creature passes on the X Parasite to Samus in the Metroid series?
",Metroid,Space Pirate,Kihunter,Hornoad,Hornoad
14,"Who is the Deleter in the Metroid series?
",Lyle Smithsonian,Adam Malkovich,K.G Misawa,James Pierce,James Pierce
15,"Kraid is the only one of his species encountered in the Metroid game.
",True,False,,,False
16,"What do Steamlords keep as pets in the Metroid series of games?
",Steambot,Warp Hound,Steamspider,Vaporwing,Vaporwing
17,"An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?
",Worm,Beast,Destroyer,Consumer,Worm
18,"King Worm can be fought after Mother Brainin Metroid Zero Mission.
",True,False,,,True
19,"What planet are Kihunters from in the Metroid games?
",Space Pirate Homeworld,Unknown,SR388,Zebes,Unknown
20,"What planet is Samus from  in the Metorid games?
",It is unknown,K-2L,Norion,Zebes,K-2L
21,"What is the name of the enemy faction in the first N.O.V.A?
",Xenos,Volterites,Judgers,The Dominion,Xenos
22,"The N.O.V.A 3 Shotgun is both semi and fully automatic.
",False,True,,,True
23,"On which planet does the first two missions in N.O.V.A 2 take place?
",Sagittarius,Earth,New Ceres,Aquarius,Aquarius
24,"Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?
",Prometheus,Yelena,MazRah,Rufus,MazRah
25,"In N.O.V.A, Kal Wardin is rewarded for finding out what happened aboard the Colonial Pride by almost being killed.
",False,True,,,True
26,"Who is the leader of the Volterites in N.O.V.A?
",MazRah,None of the above,Prometheus,The Overseer,The Overseer
27,"Which Xeno is capable of teleporting in N.O.V.A?
",Heavy Demon,Red Demon,Imp,Fiend,Heavy Demon
28,"In N.O.V.A, President Folson is unarmed.
",False,True,,,False
29,"Boreas is the only desert planet in the N.O.V.A series.
",False,True,,,False
30,"What is the name of the damsel you have to save in the classic arcade game Donkey Kong?
",Peach,Daisy,Pauline,Dixie Kong,Pauline
31,"Which of these was a name that game character, Mario, was once called?
",Koopa,Plumberio,Jumpman,Luigi,Jumpman
32,"Who or what turned Warios treasure into monsters in the game, Wario World?
",Kemmy Koopa,Lemmy Koopa,The black jewel,Bowser,The black jewel
33,"In the Mario games, what animal is a paratroopa?
",A bird,A lizard,A turtle,A tiger,A turtle
34,"When first created, Mario game character, Birdo, was what?
",A dog,A boy,A girl,A bird,A boy
35,"In the video games of Mario, is Luigi Marios cousin?
",No,Yes,,,No
36,"In the Mario video games, Bowser is the king of what?
",Bowsers,The Jungle,Mushroom Kingdom,Koopas,Koopas
37,"Who is the last boss in video game Paper Mario 2?
",Gloom Tail,Bowser,Shadow Queen,Cackletta,Shadow Queen
38,"Which movie is this Warcraft 3 quote from?
",Cool Hand Luke,For a Fistful of Dollars,Dirty Sanchez,Cool Hand Luke,ndit: -What we have here is a failure to communicate.
39,"Where does the popular video game character Mario live?
",The Koopa Kingdom,The Kingdom of Sarasaland,The Mushroom Kingdom,Yoshi Island,The Mushroom Kingdom
40,"What is Marios nationality according to Nintendo video games?
",Italian,American,Mexican,British,Italian
41,"Has the video game character Mario ever been in a TV show?
",No,Yes,,,Yes
42,"What was the first video game in which Mario appeared?
",Mario,The Mario Bros.,Super Mario,Donkey Kong,Donkey Kong
43,"Why does Mario wear a red cap in the Mario series of games?
",The creators didnt have the technology to animate his hair.,He is bald.,He cant make his hair neat.,He likes his cap.,The creators didnt have the technology to animate his hair.
44,"Has Nintendo character Mario ever been a bad guy?
",No,Yes,,,Yes
