,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"Greta Garbo was successfully treated for this disease.
",Tuberculosis,Breast cancer,Hepatitis,Cirrhosis,Breast cancer
1,"In 1952, A.S. Douglas developed the first graphical game to run on a computer.  It ran on the EDSAC.  What was the name of this game?
",Go,Check It,OXO,Tennis For Two,OXO
2,"Nolan Bushnell is considered to be the father of the video arcade industry. In 1972 he founded his own game company and together with Ted Dabney and Al Alcorn released the first arcade video game with major success- Pong. What was the name of his company?
",Nutting Associates,Nintendo,Sega,Atari,Atari
3,"Pong was first installed at a high school.
",False,True,,,False
4,"In 1972 a company named Waco released the first handheld electronic game. What was its name?
",Cross,Tic Tac Toe,Tetris,Microvision,Tic Tac Toe
5,"In 1978 Taito released one of the most influential arcade video games. It was called Space Invaders and marked the beginning of the Golden Age of arcade games. What was the thing that the player controlled in Space Invaders?
",An alien,An anti-aircraft gun,A movable laser cannon,A cowboy,A movable laser cannon
6,"Mario, probably the best-known video game character, first appeared in Donkey Kong in 1981.  His brother Luigi first appeared in Mario Bros.
",False,True,,,True
7,"Nintendo is undoubtedly one of the most successful and best known console manufacturers. Nintendo has created several TV consoles and many handheld portables, such as the Game Boy and the Game  Watch. When was the company originally founded?
",1953,1985,1983,1889,1889
8,"With the introduction of cheap and relatively powerful processors such as Intel 386, Intel 486 and Motorola 68000 3D-graphics became fashionable. It was used in FPS games like the legendary Wolfenstein 3D and Doom. Do you know what FPS stands for in this context?
",Frames Per Second,File Protocol System,Firing Per Second,First Person Shooter,First Person Shooter
9,"Sonic the Hedgehog is a mascot of Sony Playstation.
",False,True,,,False
10,"When in 1996 3dfx released the Voodoo chipset, it made high-resolution and more-detailed 3D games possible. One of the first games to take advantage of this was Quake. Do you know which company released this marvelous game?
",Microsoft,Valve,id Software,Blizzard,id Software
11,"These fictional superheroes were born, when a container of radioactive waste bounced off a truck and struck a young boy, turning him into Daredevil.
",Teenage Mutant Ninja Turtles,Pre-teen Dirty Jean Kung-fu Kangaroos,Adolescent Radioactive Blackbelt Hamsters,Miami Mice,Teenage Mutant Ninja Turtles
12,"This superhero, who first appeared in the comic book Tales of Suspense, used his own invention to keep his heart pumping.
",Mr. Fantastic,Ant Man,Iron Man,The Hulk,Iron Man
13,"This Marvel Comics superhero, whose birth name was Peter Benjamin Parker, first used his new found superpowers as a professional wrestler.
",Superman,Spiderman,The Thing,Green Arrow,Spiderman
14,"This comedic superhero, created by Ben Edlund, met an accountant named Arthur, after taking a long bus ride into The City.
",The Tick,Thor,The Shadow,Darkman,The Tick
15,"These comic book superheroes were trained in Professor Xaviers School for Gifted Youngsters.
",The Fantastic Four,The X-Men,Power Pack,The Avengers,The X-Men
16,"Which Marvel Comics character became a ruthless vigilante, after witnessing his familys violent murder?
",The Crow,The Punisher,Judge Dredd,The Scourge,The Punisher
17,"This DC Comics superhero, whose true identity is Bruce Wayne, decided to train himself to the peak of physical perfection after witnessing the murder of his parents.
",V (For Vendetta),Batman,The Hulk,Spawn,Batman
18,"Which fictional member ot the Teen Titans started out as Batmans sidekick?
",Beast Boy,Cyborg,Raven,Nightwing,Nightwing
19,"Fellow Justice League members Superman and Martian Manhunter have something in common. What is it?
",They are both reporters by day,They both grew up on a farm.,They both escaped from the phantom zone.,They are both aliens.,They are both aliens.
20,"Which of the following fictional heroes is a World War II veteran?
",Batman,Captain America,Captain Commando,Thor,Captain America
21,"What is the real name of Gambit who first appeared in the comic book The Uncanny X-Men?
",Remy LeBeau,Bobby LeBeau,Scott Summers,Alex Summers,Remy LeBeau
22,"Which of these X-Men characters is not a member of the Summers family line?
",Cyclops,Mister Sinister,Havoc,Cable,Mister Sinister
23,"Archangel, a mutant and a member of the X-Men, was which horseman of Apocalypse?
",Death,Famine,Pestilence,War,Death
24,"Which antagonist of the X-Men is responsible for the death of Wolverine in the comic books?
",Juggarnaut,Sabretooth,Magneto,Lady Deathstrike,Magneto
25,"Which of these X-men characters is not a mutant?
",Charles Xavier,Gambit,Juggernaut,Storm,Juggernaut
26,"In the Age of Apocalypse timeline, Wolverine, a member of the X-Men, is married to which female?
",Storm,Polaris,Jean Grey,Jubilee,Storm
27,"Who is the head of the X-Men in the Age of Apocalypse timeline?
",Magneto,Apocalypse,Charles Xavier,Cyclops,Magneto
28,"Omega Red, a foe of the X-Men, serves which country?
",Germany,Russia,The United States,Japan,Russia
29,"What is the real name of X-Men member Wolverine?
",Victor Creed,James Howlett,Mikhail Rasputin,Logan,James Howlett
30,"This member of the Hellfire Clubs inner circle, known as the White Queen, once fought against the X-Men.
",Emma Frost,Jean Grey,Calypso,Phoenix,Emma Frost
31,"When was the Miss America pageant first held?
","July 6, 1920","July 4, 1919","September 5, 1925","September 7, 1921","September 7, 1921"
32,"The most common talents performed are singing and dancing, but there have been a variety of other odd talents as well.  Which talent was performed at a Miss America pageant?
",Blowing bubbles through a straw,Self-defense,Gymnastic moves,Packing a suitcase,Packing a suitcase
33,"Who was the first Jewish Miss America?
",Marion Bergeron,Norma Smallwood,Bess Myerson,Marilyn Buferd,Bess Myerson
34,"Miss America always goes on to compete in the Miss Universe pageant.
",True,False,,,False
35,"As of the beginning of the new millenium, how many Miss America title holders were from New Jersey, the state that held the competitions?
",2,6,4,0,2
36,"Who was the first deaf Miss America?
",Rebecca Ann King,Phyllis Ann George,Cheryl Prewitt,Heather Whitestone,Heather Whitestone
37,"Until 2004 ABC aired the Miss America pageant , it then switched to what station?
",NBC,CBS,CMT,USA,CMT
38,"In what year did Snoopy first make his first appearance in a comic strip?
",1948,1952,1954,1950,1950
39,"What name was Charles Schulz originally going to give to Charlie Browns dog Snoopy?
",Sneaky,Snookums,Sniffy,Sneakers,Sniffy
40,"What position did cartoon character Snoopy play in Charlie Browns Little League baseball team?
",Pitcher,Catcher,First base,Short Stop,Short Stop
41,"In what year did comic strip character Snoopy first appear sleeping on top of his doghouse?
",1953,1958,1956,1954,1958
42,"In what year did comic strip character Snoopy first walk upright?
",1960,1962,1958,1956,1956
43,"Which one of these pairs roller coaster- theme park is wrong?
",Megafobia- Oakwood Leisure Park,Superman - Ride of Steel- Six Flags Darien Lake,Avalanche- Holiday World,Dania Beach Hurricane- Boomers,Avalanche- Holiday World
44,"Top Thrill Dragster was opened in 2003 and it was the tallest and fastest roller coaster in the world until 2005 (this is true). It was the first roller coaster to break the 300 ft (91.4 m) barrier.
",True,False,,,False
45,"Which one of these pairs roller coaster- year of opening is wrong?
",Kraken- 2000,Megafobia- 1996,Nitro- 2000,Ozark Wildcat- 2003,Nitro- 2000
46,"October 2006 saw the release of which Mortal Kombat game?
",10th,8th,12th,9th,12th
47,"In the Mortal Kombat storyline, Liu Kang was brutally murdered by which character?
",Shang Tsung,Goro,Shao Kahn,Kung Lao,Shang Tsung
48,"What feature makes Kenshi different from all other Mortal Kombat characters?
",He can fly.,He is a mute.,He is blind.,He is deaf.,He is blind.
49,"How does Calvins dad like to spend his vacation in the comic strip Calvin and Hobbes
",Going Camping,Going Sightseeing,Going to the Beach,Going Hiking,Going Camping
50,"In the cartoon Calvin and Hobbes, Calvin enjoys the dinners that his mom makes.
",False,True,,,False
51,"Cartoon character Calvin hates taking baths.
",True,False,,,True
52,"What does comic strip character Calvin like to do during recess?
",Play Baseball,None of these,Play Hide-and-Seek,Play Tag,None of these
53,"Which of these is NOT the name of one of the Calvin and Hobbes books?
",The Authoritative Calvin and Hobbes,The Indispensable Calvin and Hobbes,The Conclusive Calvin and Hobbes,The Essential Calvin and Hobbes,The Conclusive Calvin and Hobbes
54,"Which of the following words is not part of the title of Calvins favorite book in the Calvin and Hobbes comic strip?
",Hamster,Kablooie,Huey,Louis,Louis
55,"SeaWorld has an official airline and one of its Boeing 737 jetliners is painted to look like a flying Killer Whale. Name this airline.
",U.S Air,Delta,Southwest,Jetblue,Southwest
56,"There is more than one Killer Whale named Shamu in the SeaWorld parks in the U.S.
",True,False,,,True
57,"In what year did SeaWorld Orlando open?
",1965,1973,1968,1970,1973
58,"Which of these creatures is not featured in the exhibit of the world famous SeaWorld attraction Wild Arctic?
",Beluga Whale,Polar Bear,Walrus,Penguin,Penguin
59,"What SeaWorld attraction allows you to walk through a tube in which sharks swim all around you?
",Sharktastic!,Mission: Shark,Shark Adventure,Shark Encounter,Shark Encounter
60,"What is the name of the SeaWorld Orlando amusement ride that is a combination of a water ride and a roller coaster?
",The Lost City of Atlantis,Atlantis the Lost Continent,Journey to Atlantis,Atlantis: The Lost World,Journey to Atlantis
61,"What are the names of the four theme parks that make up Disney World?
","Magic Kingdom, Epcot, Animal Kingdom, Disney Hollywood Studios","Universal Studies, Animal Safari,  Epcot","Cedar Point, Holiday World, Magic Kingdom, Wilderness Park","Walt Disney World, Sea World, Busch Gardens, Circus World","Magic Kingdom, Epcot, Animal Kingdom, Disney Hollywood Studios"
62,"How many acres did Walt Disney purchase for Disney World to be built on?
","25,000","12,500","11,950","27,400","27,400"
63,"What is the main icon of the Magic Kingdom park?
",Cinderellas Castle,Cinderellas Stagecoach,Spaceship Earth,The Tree of Life,Cinderellas Castle
