,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"Immanuel Kant criticized Emanuel Swedenborg and termed him a 鈥渟pook hunter鈥.
",True,False,,,True
1,"Clouds are made up of these.
",Carbon atoms,Water droplets and ice crystals,Oxygen ions,Dust mites,Water droplets and ice crystals
2,"This formation is a conical hill or mountain. It is formed by mantle material being pressed through an opening in the Earths crust.
",A volcano,A hill,An earthquake,A geyser,A volcano
3,"Japan suffers from this event very often. It is the sudden, light or violent movement of the earths surface caused by the release of energy in the earths crust.
",Volcano,Earthquake,Tide,Tsunami,Earthquake
4,"It is the only continent that does not have land areas below sea level.
",Australia,South America,Antarctica,Arctica,Antarctica
5,"It is the longest river in the world
",Themes,The Amazon,The Nile,Danube,The Nile
6,"Why do travelers to La Paz, Bolivia, often become ill as soon as they arrive?
",Because of the high temperature,Because of the humidity,Because of the soil quality,Because of the altitude,Because of the altitude
7,"In the US, why do we change our clocks on the daylight saving time dates in April and October?
",To conserve energy,To increase the hours of the day,To extend the working day,Because the tourist period in most countries starts in May,To conserve energy
8,"These are places of arid land with really low rainfall and high tempertures variation. Their vegetation is insignificant and the population of people and animals is very limited.
",Oceans,Raiforests,The equator,Deserts,Deserts
9,"This is a gemstone made by fossilized tree sap that is at least 30 million years old.
",Obsidian,Amber,Tourmaline,Malachite,Amber
10,"This is the largest island on Earth and one third of it is a national park.
",Greenland,Madagaskar,Australia,Alaska,Greenland
11,"Which of these organs has no known function in the human body?
",tonsils,appendix,uvula,pineal gland,appendix
12,"The main function of this organ of respiration is to transport oxygen from the atmosphere into the bloodstream.
",stomach,diaphragm,trachea,lung,lung
13,"This gland is shaped like a butterfly and helps regulate energy in the body.
",parathyroid,thyroid,adrenal,thymus,thyroid
14,"The cerebellum section of the brain controls the fine movement and equilibrium, among other things.
",True,False,,,True
15,"These organs are very sensitive and often fail in people with very high blood pressure or diabetes.
",pancreas,kidneys,ovaries,lungs,kidneys
16,"Tooth enamel is the hardest substance in the body.
",False,True,,,True
17,"This is one of the first signs of pregnancy.
",Swollen Feet,Missed period,Hair loss,Waddling,Missed period
18,"This doctor takes care of you and your baby during pregnancy.
",Psychologist,Periodontist,Obstetrician,Pediatrician,Obstetrician
19,"What is the most common method of child birth?
",Cesarean,Vaginal,Water birth,In Vitro Fertilization,Vaginal
20,"The mother determines the sex of the baby.
",False,True,,,False
21,"What are common side effects of pregnancy?
",Stretch marks,Morning Sickness,All of the these,Weight gain,All of the these
22,"How far along are you approximately, when you feel the baby move for the first time?
",10 weeks,35 weeks,2 weeks,20 weeks,20 weeks
23,"What is suggested that you not do several hours before you go into labor?  It could get you embarrassed.
",Eat fish,Have sex,Talk on the phone,Eat food,Eat food
24,"What is also delivered along with the baby or immediately after its birth?
",Feet,Shoulders,Placenta,Handbook,Placenta
