,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"This drink contains caffeine.
",Mineral water,Orange juice,Coffee,Beer,Coffee
1,"Finish the proverb:
","ets are born, ________.",...not made.,...not made.,...but can also be made.,
2,"ts are born, ________.
",...not made.,...but can also be made.,...but thats not for sure.,"..., long live the poets!",...not made.
3,"If a TV program is rated G then this is true.
",It contains moderate violence.,It contains mild sexual situations.,It is suitable for all audiences.,It is suitable for young children.,It is suitable for all audiences.
4,"The theory of relativity was introduced in physics by this man.
",Galileo Galilei,Albert Einstein,Archimedes,Isaac Newton,Albert Einstein
5,"The symbol for the chemical element iron is this.
",I,Fe,Zn,Br,Fe
6,"The author of the novel A Portrait of the Artist as a Young Man is this writer.
",T. S. Eliot,Samuel Beckett,William Faulkner,James Joyce,James Joyce
7,"The capital of Mongolia is this city.
",Davao,Islamabad,Quezon,Ulaanbaatar,Ulaanbaatar
8,"Mitochondrias function in cells is to perform this.
",To control chemical reactions within the cytoplasm,To store information needed for cellular division,To convert organic materials into energy,To process proteins targeted to the plasma membrane,To convert organic materials into energy
9,"The US bought Alaska in this year.
",1942,1882,1854,1867,1867
10,"The 23rd US President was in office during this period.
",1909 - 1913,1889 - 1893,1837 - 1841,1877 - 1881,1889 - 1893
11,"One of these actors did not star in the 1971 movie A Clockwork Orange.
",Michael Bates,Patrick Magee,Warren Brown,Malcolm McDowell,Warren Brown
12,"The first Bulgarian state was formed in this year.
",429 AD,681 AD,712 AD,651 AD,681 AD
13,"The 1962 Soccer World Cup tournament was held in this country.
",Switzerland,Mexico,Chile,Italy,Chile
14,"The Meryas were a probably Finno-Ugric tribe who lived in the region of modern Russia. This is the first historian to mention them.
",Eusebius of Caesarea,Jordanes,Priscus,Sima Guang,Jordanes
15,"The word abacus derives from a Hebrew word, meaning this.
",Movement,Sky,Dust,Wood,Dust
16,"The Chevy Nova sold poorly in Mexico because no va means doesnt go in Spanish.
",False,True,,,False
17,"A car that gets over 200 miles per gallon is reclaimed by the factory, after its owner calls to congratulate the manufacturers about its excellent performance.
",True,False,,,False
18,"A very complicated Honda Accord commercial required 606 takes and was done without the use of any computer-generated images.
",True,False,,,True
19,"Putting sugar in the gas tank of a carburetor-equipped vehicle will ruin the engine.
",False,True,,,False
20,"Man bought an old motorcycle only to discover that it was once owned by Elvis Presley.
",False,True,,,False
21,"Cars were stolen by thieves who wrote down VINs (car serial numbers)  and used them to obtain duplicate keys through auto dealerships.
",True,False,,,True
22,"After an earthquake in  1989, a car thief was found crushed under a collapsed freeway overpass in the vehicle hed stolen.
",False,True,,,False
23,"An artist painted a 60 ft. tall image of a naked woman above a tunnel in Malibu Canyon in 1966.
",False,True,,,True
24,"Police officers who use slimjims to assist locked out motorists have been killed by airbags.
",False,True,,,False
25,"A speeder caught by photo radar, sends the police a photograph of money to pay his fine.
",True,False,,,True
26,"Sean Connery, George Lazenby, Roger Moore, Timothy Dalton and Pierce Brosnan have all played the role of a fictional British spy. Who was that character?
",James Bond,Johnny English,Jim Malone,Eliot Ness,James Bond
27,"Man On The Moon, Amadeus and One Flew Over the Cuckoos Nest are all movies directed by him.
",Stanley Kubrick,Milo拧 Forman,Pedro Almod贸var,Martin Scorsese,Milo拧 Forman
28,"Across the Hall, Friends Like Us, Insomnia Caf and Six of One are all working titles of one of famous US TV-series.  Name the series.
",Friends,Sex and the City,ALF,One Tree Hill,Friends
29,"The common link between these four movies -Chicken Run, Harry Potter, The Mummy Returns and Cast Away, is that...?
",They all treat one and the same social problem.,They all are produced by one and the same company.,One and the same actor is starring in all of them.,They all refer to one and the same social class.,They all are produced by one and the same company.
30,"Three of the following movies are produced by 20th Century Fox. Which is the odd one?
","Me, Myself  Irene",Dr. Dolittle 2,Cast Away,House of Wax,House of Wax
31,"David Suchet and Peter Ustinov are two actors who have played the role of the famous detective Sherlock Holmes.
",False,True,,,False
32,"Tom Cruise had a lead role in all, but one of these movies.  Which one?
",Rain Man,The Firm,Magnolia,Endless Love,Endless Love
33,"All but one of these statements represents a common bond between the movies, The Terminal and Catch Me if You Can.
",They both can be classified as dramas.,They both are produced by Spielberg.,Tom Hanks stars in them both.,Leonardo DiCaprio stars in them both.,Leonardo DiCaprio stars in them both.
34,"Brad Pitt starred in all these movies, except one. Can you spot it?
",Meet Joe Black,Mr.  Mrs. Smith,Oceans Eleven,The Beach,The Beach
35,"Robin Williams starred in Mrs. Doubtfire. Another great actor, Dustin Hoffman starred in Tootsie. Both characters pretended to be this.
",Women,Dead,Insane,Bed-ridden and sick,Women
36,"A ghost is a supernatural entity thought to be the spirit of a person remaining on Earth after their death to seek revenge.
",False,True,,,False
37,"There is something specific about Anne Boleyns ghost. What is it?
",She does not have a ghost.,Her ghost is male.,Her ghost is without hands.,Her ghost is without a head.,Her ghost is without a head.
38,"Which of the following statements about ghosts is incorrect?
",They are always depicted of a human size and shape.,Ghosts do not have a gross physical body.,Sometimes they might manifest their presence by moving other objects or producing noises.,"They are usually portrayed as silvery, shadowy and fog-like.",They are always depicted of a human size and shape.
39,"The ghost of the Roman Emperor Caligula was said to haunt this place.
",Basilica di San Giovanni in Laterano,Amphitheatrum Castrense,The Lamian Gardens of Rome,Great Synagogue of Rome,The Lamian Gardens of Rome
40,"Ghosts have taken a significant place in literature and art since this period.
",Renaissance,Middle Ages,Romanticism,Baroque,Renaissance
41,"What does Suetonius, Geoffrey of Monmouth and Herodotus have in common?
",They are three writers that produce modern urban legends.,They are three writers that produced the first urban legends.,They are three ghost from the modern urban legends.,They are three ghosts from the first urban legends.,They are three writers that produced the first urban legends.
42,"Is there a difference between a poltergeist and a ghost?
",Yes,No,,,Yes
43,"The Epic of Gilgamesh is the oldest written story, containing a lot of references to the spirits of the dead.
",False,True,,,True
44,"In 1993 an interesting study about Friday the 13th was published in the British Medical Journal. Its authors investigated if this mystical date is really dangerous. They compared the ratio of traffic volume to the number of vehicular accidents on two different days throughout several years. What was the conclusion of the study?
",The number of vehicular accidents is lower on Friday the 13th,The results were inconclusive,Friday the 13th doesnt have any affect on the number of vehicular accidents,Friday the 13th actually affects the number of vehicular accidents,Friday the 13th actually affects the number of vehicular accidents
45,"The fear of the fatal date is called this.
",Paraskevidekatriaphobia,Aphenphosmphobia,Chronomentrophobia,Coitophobia,Paraskevidekatriaphobia
46,"Chinese people believe that 13 is a lucky number.
",True,False,,,True
47,"There are countless theories about the origins of fear of number 13. One says that the phobia comes from Norse mythology. According to a legend, the 13th god, the god of mischief, turned up at a gathering of the 12 Viking gods and caused the death of Balder the Good.  What was the god of mischief called?
",Loki,Tor,Odin,Hod,Loki
48,"People fear Friday for many reasons. For example, Jesus Christ was crucified on Friday, the Great Flood began on Friday and Adam and Eve were banned from the Garden of Eden on Friday. Do you know what type of day Friday was in the pagan Roman empire?
",Parade day,Tax day,Execution day,Day for prayers,Execution day
49,"Most estate agents find it difficult to sell a house, numbered thirteen.
",False,True,,,True
50,"The bad name of both Friday and number 13 can be explained by many historical and religious facts. However, the reason why they are linked together to form this powerful superstition, cant be explained so easily. According to one theory, the ill-fame of Friday 13th dates back to 13 October 1307, when King Philip IV of France arrested most of the knights of one famous Order. What was the name of the Order?
",The Ancient and Illustrious Order Knights of Malta,Ancient Order Knights of the Mystic Chain,The Knights Templar,Teutonic Order,The Knights Templar
51,"Female drivers have more traffic accidents on Friday the 13th.
",True,False,,,False
52,"Having in mind the mysterious background of Black Friday, it is quite natural that the TV series Friday the 13th were so popular. The main character, Jason, is one of the biggest celebrities in the world of horror movies. What is Jasons family name?
",Hardy,Vorhees,Christy,Burrell,Vorhees
53,"Over any given 400-year cycle the 13th day of the month occurs 4800 times. The 13th most often falls on this day of the week.
",Sunday,Monday,Wednesday,Friday,Friday
54,"What movie stars George Peppard as a WWI ace pilot?
",The Blue Max,The Blue Baron,The Red Baron,The Black Knight,The Blue Max
55,"This movie, directed by Stanley Kubrick, stars Malcolm McDowell as Alex DeLarge.
",A Backward Peach,A Future of  Red,A Clockwork Orange,Soylent Green,A Clockwork Orange
56,"Actors Patrick Swayze, Jennifer Gray, Charlie Sheen and C.Thomas Howell played in both Red Dawn and The Outsiders.
",False,True,,,False
57,"In Black Sunday, Michael Lander played by Bruce Dern, conspires with a Palestinian terrorist group to kill masses of innocent people in what way?
",by detonating a nuclear device inside the Pentagon,"by detonating a bomb, housed in the undercarriage of a blimp, over a football stadium during the Super Bowl",by hijacking a 747 and taking it to Syria,by infecting a water supply with the black plague,"by detonating a bomb, housed in the undercarriage of a blimp, over a football stadium during the Super Bowl"
58,"In Pretty in Pink, the character played by Molly Ringwald has a guest, named Long Duk Dong, who is a  foreign exchange student.
",False,True,,,False
59,"In the film The Hunt For Red October, what was the unique quality of the Russian submarine Red October?
",It was a laser guided sub that tracks 24 targets at the same time.,"It was built with a revolutionary stealth propulsion system called the caterpillar drive,",Its stealth armor confuses the enemy sonar,None of these,"It was built with a revolutionary stealth propulsion system called the caterpillar drive,"
60,"Which 1985 comedy film starred Tom Hanks, Jim Belushi and Lori Singer?
",The Man With One Red Shoe,The Woman In Red,The Masque of the Red Death,Reds,The Man With One Red Shoe
61,"In the movie Goldfinger, which one of the following characters does not die?
",Tilly Masterson,Pussy Galore,Goldfinger,Oddjob,Pussy Galore
62,"What was unique about The Green Berets, a film starring John Wayne?
",None of these,It was John Waynes first movie without a female co-star,It was the only non-western John Wayne movie in color,It was the only Vietnam War film that was produced during the war itself,It was the only Vietnam War film that was produced during the war itself
63,"In White Men Cant Jump, Sidney Deane, played by Wesley Snipes is married to Rosie Perez character, Gloria Clemente.
",False,True,,,False
64,"One of the first known blondes was this Greek goddess, whose hair was described by Homer as golden.
",Demeter,Aphrodite,Hera,Medusa,Aphrodite
65,"The hairs of a natural blonde can be described as this.
",More than those of a brunette,Thinner than those of a brunette,The same number as those of a brunette,Fewer than those of a brunette,More than those of a brunette
66,"Researchers in England found this to be true of  blond cashiers in supermarkets.
",Have frequent technical issues with the registers,Gather greater queues,Receive more tips from customers,Have higher chances of not balancing the register at the end of the day,Gather greater queues
67,"During The Restoration period blond hair became a symbol of this.
",Stupidity,High class,Intelligence,Prostitution,Prostitution
68,"Most fairy tale characters have this color hair.
",Blonde,Dark,Green,Red,Blonde
69,"Blonde hair was important to Hitler, according to him it symbolized this.
",Valor,German nationality,Innocence,The purity of the Aryan race,The purity of the Aryan race
70,"She is regarded as the most famous blonde of all times.
",Marlene Dietrich,Eva Brown,Marilyn Monroe,Madonna,Marilyn Monroe
71,"Strange as it may be, there are paintings, depicting a blonde one of her.
",Madamme Butterfly,Cleopatra,Beyonce,Aretha Franklyn,Cleopatra
72,"Red is the color of all these except one.
",Danger,Warmth,Passion,Sadness,Sadness
73,"Red is believed to provoke hunger.
",True,False,,,True
74,"The movie Trois couleurs: Rouge (Three Colors: Red) is about a girl who discovers her neighbour is keen on invading peoples privacy. This is her profession.
",Photographer,Teacher,Model,Actress,Model
75,"The Rothschilds were one of the most successful business families in history. Their family name literally means this.
",Red Shire,Red Sheath,Red Shield,Red Sheave,Red Shield
76,"Three of the following albums are by the band Red Hot Chili Peppers. Which is the odd one?
",Blood Sugar Sex Magik,Freaky Styley,In Another Land,By the Way,In Another Land
77,"Red River College (RRC) is a large and very comprehensive institute of applied learning, located in this city.
",Ottawa,Toronto,Vancouver,Winnipeg,Winnipeg
78,"Red Lobster is a U.S. chain of seafood restaurants. Its original name was this.
",Harbor for Seafood Lovers,Lobster Lovers,Lobster Barbecue,Red Harbor,Harbor for Seafood Lovers
79,"Manfred Albrecht Freiherr von Richthofen was a German pilot and is still regarded today as the ace of aces. Which of the following pairs (nickname - nation calling him that) is wrong?
",Red Battle-Flyer - the Germans,Red Devil - the French,Red Baron - the British,They are all true.,They are all true.
80,"Simply Red is a British band. The bands name is related to this soccer team.
",Arsenal,Liverpool,Manchester United,Middlesbrough,Manchester United
81,"One of these four countries does not border the Red Sea.
",Jordan,Egypt,Oman,Sudan,Oman
82,"Internationally, blue is the color of these political parties.
",Labour parties,Liberal parties,Communist parties,Conservative parties,Conservative parties
83,"The term blue blood, meaning aristocracy or related to aristocracy, originated in this country.
",England,Germany,Spain,France,Spain
84,"Eiffel 65 is a trio of Italian musicians who play electronic music. One of their biggest hits is Blue (Da Ba Dee). The album featured this hit.
",Eiffel 65,Contact!,Europop,Suggested Title - Crash Test,Europop
85,"In German the word for blue is used to describe that a person is this.
",Married,Crazy,Rich,Drunk,Drunk
86,"Blue is a British boy band consisting of four members. The song Signed, Sealed, Delivered, Im Yours is performed by them and this musician.
",Jim Morrison,Stevie Wonder,Elton John,Steve Lawrence,Stevie Wonder
87,"In The Hitchhikers Guide to the Galaxy there are several references to a super-intelligent shade of the color blue, called this.
",Cyan,Volo-loco,Hooloovoo,Gobo,Hooloovoo
88,"Blue pages are a telephone directory of these.
",Business offices,Celebrities home numbers,Brothels numbers,Government offices,Government offices
89,"This huge company is often referred to as Big Blue.
",Hewlett-Packard,Microsoft,IBM,"Cisco Systems, Inc.",IBM
