,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"Which vegetables are considered taboo food in Buddhist tradition?
",All legumes,Garlic and onion,Eggplants and tomatoes,Cabbage and lettuce,Garlic and onion
1,"Is this the correct usage of the word inferring? 
",No,No,Yes,," saying that I look good today, are you inferring that I did not look good yesterday?"
2,"Is this the correct usage of the word continually? 
",No,No,Yes,,ofessor Smith gave a speech yesterday. He spoke continually for 3 hours.
3,"Which of these sentences is correct?
","From hence to eternity, I will search.",Whence did he come?,From whence did he come?,"If you build it, thence he will come.",Whence did he come?
4,"Which of these is correct?
",The capitol building is located in the capitol.,The capital building is located in the capital.,The capitol building is located in the capital.,The capital building is located in the capitol.,The capitol building is located in the capital.
5,"In the following sentence, which word is incorrect?  
",None of the words is incorrect; the sentence is correct as is.,principal,unprincipled,principle,e schools unprincipled principal understands the principle of the argument.
6,"Which of the following is NOT a synonym of the word reticent?
",These are all synonyms of the word reticent.,Restrained,Silent,Reluctant,These are all synonyms of the word reticent.
7,"Which of the following is incorrect?
",The class comprised 30 people.,Thirty people comprised the class.,These are all correct usages of the word comprised.,The class was comprised of 30 people.,These are all correct usages of the word comprised.
8,"Which of these is incorrect?
",He woke up at six.,All of these sentences are correct.,He awoke at six.,He awakened at six.,All of these sentences are correct.
9,"Which of these sentences means I love you in Spanish?
",Te amo.,Kocham cie.,Mi amas vin.,Ti amo.,Te amo.
10,"Rakastan sinua is one of the ways to say I love you in which European language?
",Bulgarian,French,Finnish,German,Finnish
11,"Which expression would you use to say I love you in Danish?
",Jeg elsker dig.,Volim te.,I love thee.,Je taime.,Jeg elsker dig.
12,"In what European language does Je taime mean I love you?
",Swedish,Italian,German,French,French
13,"Which of the following sentences means I love you in German?
",Ich liebe Dich.,Te amo.,Volim te.,Je taime.,Ich liebe Dich.
14,"Volim te means I love you in three of these European languages. Which is the odd one?
",Croatian,Bosnian,Italian,Serbian,Italian
15,"What is the Swahili expression for I love you?
",Te quiero,Nakupenda,Ti amo,Je taime,Nakupenda
16,"In which Turkic language does Seni seviyorum mean I love you?
",Navajo,Hebrew,Icelandic,Turkish,Turkish
17,"Name this artificially-constructed international language, in which Mi amas vin means I love you.
",Thai,Navajo,Spanish,Esperanto,Esperanto
18,"Which of these sentences means I love you in Dutch?
",Ti amo.,Ik hou van jou.,Ne mohotatse.,Ich liebe Dich.,Ik hou van jou.
19,"The implement, used to extinguish the flame of a candle, is called this.
",Candleberry,Candleholder,Candlestick,Candlesnuffer,Candlesnuffer
20,"When something contains or yields an acid, it is this.
",Acidiferous,Acidophilous,Acidimetric,Acidifiable,Acidiferous
21,"The monitoring, recording, and measuring of a living organisms basic physiological functions is known as this.
",Biomedicine,Bipartisanism,Biosystematy,Biotelemetry,Biotelemetry
22,"Enterokinase is this.
",Disease,Medical condition,Enzyme,Hormone,Enzyme
23,"Copious perspiration is known as this.
",Diaphoresis,Deuterogamy,Detumescence,Diabolisation,Diaphoresis
24,"Gerontology is the branch of medical science that deals with diseases and problems specific to these people.
",Adults,Elderly,Blind people,Children,Elderly
25,"One of these terms means preserving the mutual relations of parts, especially as to size and form; maintaining relative proportion.
",Homologisation,Homomorphic,Homomorphism,Homolographic,Homolographic
26,"Hyperplasia is the abnormal increase in the number of these.
",Species,Habitat,Teeth,Cells,Cells
27,"The authority to teach religious doctrine is referred to as this.
",Mastigophoran,Magistrature,Magistrateship,Magisterium,Magisterium
