,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"What does the word cretin refer to?
",Cyst on the brain stem,None of these,An idiot,Swelling of the cerebrum caused by spinal fluid,An idiot
1,"Leaves of Grass
",Carl Sandberg,T.S. Eliot,Robert Frost,Walt Whitman,Walt Whitman
2,"At The Mountains of Madness
",H.P. Lovecraft,Peter Straub,Edgar Allan Poe,C.S. Lewis,H.P. Lovecraft
3,"Ape and Essance; Eyeless in Gaza; Point Counter Point
",J.D. Salinger,Aldous Huxley,Maya Angelou,William Butler Yeatts,Aldous Huxley
4,"1984; Animal Farm
",Herman Hesse,Rudyard Kipling,George Orwell,Aldous Huxley,George Orwell
5,"Return of the Native; Jude the Obscure; Far From the Madding Crowd
",Thomas Hardy,William Faulkner,Rudyard Kipling,James Dickey,Thomas Hardy
6,"The Antichrist; The Gay Science; Beyond Good and Evil; Thus Spoke Zarathustra
",none of these,Frederick Nietzche,Amari Baraka,Stephen King,Frederick Nietzche
7,"What language can Harry Potter speak?
",Goblin,English,Mermish,Parseltounge,Parseltounge
8,"Cornelia Fudge is the Minister of Magic.
",False,True,,,False
9,"Hermione was supposed to turn into this person after drinking the Polyjuice Potion.
",Millicent Bulstrode,Crabbe,Millie Vanilli,Pansy Parkins,Millicent Bulstrode
10,"What was Hagrid buying in Knockturn Alley?
",Flesh-Eating Slug Attractor,Fresh-Skin Slug Repellent,Flesh-Eating Ant Repellent,Flesh-Eating Slug Repellent,Flesh-Eating Slug Repellent
11,"This book by James Joyce was forbidden by the US authorities for 15 years, because it was considered obsene. The ban was lifted in 1933.
",Ulysses,Portrait of the Artist,Dubliners,Fanny Hill,Ulysses
12,"This book about the life of a prostitute was written by John Cleland. It has been banned in the past due to frank sexual descriptions.
",Candide,Lysistrata,Fanny Hill,Decameron,Fanny Hill
13,"This book tells the story of two women who meet and fall in love with each other. They openly declare their homosexuality to family and friends. Thats why the Kansas school system ordered the removal of all copies of this book from high school libraries.
",Daddys Roommate,Andersonville,Annie on My Mind,Catch 22,Annie on My Mind
14,"This book led Austin Miles to the courts in 1992.  Miles was sued because his book was ...a vitriolic attack upon organized Christianity.
",Leaves of Grass,Dictionary of American Slang,Jerusalem Delivered,Dont Call Me Brother,Dont Call Me Brother
15,"This book by Judy Blume was censored as it discussed adolescent sexuality in too much detail.
",Grapes of Wrath,Lolita,Freedom and Order,Forever,Forever
16,"This book by George Orwell was banned as it was pro-communist.
",The Sun Also Rises,Coming Up for Air,1984,Deliverance,1984
17,"This Lewis Carrolls work was banned in China because in it humans and animals used the same language.
",Sylvie and Bruno,Alices Adventures in Wonderland,Through The Looking Glass,The Hunting of the Snark,Alices Adventures in Wonderland
18,"Its translation into local languages was forbidden in Burma.
",The Quran,The Cabala,Arabian Nights,The Bible,The Bible
19,"This book was censored in 1985 in Cairo, Egypt as it contained obscene passages which posed a threat to the countrys moral fabric.
",Arabian Nights,Don Quixote,Analects,Brave New World,Arabian Nights
20,"An edition of Miltons works was bound in:
",Human skin,Golden plates,Bears fur,Used newspapers,Human skin
21,"Binding books with human hide was a common practice once. Why?
",Because of lack of any other proper material,Because this sold the books more quickly than anything,Because the narrative in the book was about the story of the hides owner,Because it was fashionable at the time,Because the narrative in the book was about the story of the hides owner
22,"The name of Cruella de Vil from 101 Dalmatians is meaningful because:
",She actually likes cats and not dogs,She is the owner of the dalmatians,She doesnt give them any food,She wants the puppies for their fur,She wants the puppies for their fur
23,"Who is the Shakespearean villain who had his own brother executed and innocent children killed because they were hindrances to his kingly ambition?
",Edmund,Richard III,Aaron the Moor,Othello,Richard III
24,"According to psychologists villains in fairy-tales actually have an important role for the childrens mind formation, namely:
",They help children decide what is bad,They make the story really funny,They are interesting models of behaviour,They always lose the battle,They help children decide what is bad
25,"The famous evil female Baba Yaga comes from:
",A Norse legend,An Uzbekistanian fairy-tale,A Moroccan song,Russian folklore,Russian folklore
26,"Harry Potter is concidered malicious literature by some, because:
",Most of its characters are strange beings,Its characters are mainly clad in black clothes,It comprises too many volulmes,It is about witchcraft,It is about witchcraft
27,"It turns out that people like reading about crime. The top-selling English-language author of all time is:
",Agatha Christie,Ben Johnson,Edgar-Allan Poe,Virginia Woolf,Agatha Christie
28,"Who wrote about the early whodunit archetype, inspector Auguste Dupin?
",Georges Sands,Edgar Allan Poe,Washington Irving,Nathaniel Hawthorne,Edgar Allan Poe
29,"Dr. Alex Delaware is the creation of which of these authors?
",Jonathan Kellerman,Kathy Reichs,Faye Kellerman,Ross McDonald,Jonathan Kellerman
30,"Robert B. Parker completed Raymond Chandlers unfinished final novel, Poodle Springs.
",False,True,,,True
31,"Kathy Reichs has written some great mysteries, where the primary character is Forensic Archaeologist, Kay Scarpetta.
",False,True,,,False
32,"What is the name of Colin Creevys brother, who appears in the book Harry Potter and the Order of the Phoenix?
",Carson Creevy,Darian Creevy,Dennis Creevy,James Creevy,Dennis Creevy
33,"Why was Hagrid missing in the beginning of Harry Potter and the Order of the Phoenix?
",He went hunting unicorns.,He went looking for Dumbleodre.,He went looking for Sirius Black.,He went hunting giants.,He went hunting giants.
34,"What did Hermione do to Ron before she stormed out of the charms classroom in Harry Potter and the Half-Blood Prince?
",She charmed a desk to fly over to Ron.,She charmed pencils to fly and poke Ron.,She charmed little yellow birds to fly at Ron and peck him.,She charmed a chair to fly across the room at Ron.,She charmed little yellow birds to fly at Ron and peck him.
35,"Draco Malfoy cries in a book of the Harry Potter series.
",True,False,,,True
36,"Did Crabbe and Goyle ever become friends with Harry, Ron and Hermione in the Harry Potter books?
",Yes,No,,,No
37,"Harry liked Cho in the book Harry Potter and the Half-Blood Prince.
",True,False,,,False
38,"In Harry Potter and the Philosophers Stone, before Harry went to fight Professor Quirrel and He-Who-Must-Not-Be-Named, Hermione helped him with a task that involved what?
",A chess set by Professor Flitwick,An ancient textbook sent from Professor Binns,A set of potions sent from Professor Snape,A dragon sent from Hagrid,A set of potions sent from Professor Snape
39,"What was the name of the handsome, selfish teacher in Harry Potter and the Chamber of Secrets?
",Professor Gilderoy Lockhart,Professor Godric Gryffindor,Professor Severus Snape,Professor Cedric Diggory,Professor Gilderoy Lockhart
40,"In Harry Potter and the Philosophers Stone, what was the password to the Gryffindor tower during Halloween?
",Pig snout,Fairy lights,None of these,Zebras tail,Pig snout
41,"In Harry Potter and the Philosophers Stone, who gave Nearly-Headless Nick the rejection letter from the Headless Hunt?
",Sir Delaney Patrick-Podmore,Sir Sturgis Podmore,Sir Patrick Delaney-Podmore,Sir Bloody Baron,Sir Patrick Delaney-Podmore
42,"In the Harry Potter series, who created the Ravenclaw House when Hogwarts was built?
",Rowena Ravenclaw,Ronald Ravenclaw,Rowana Ravenclaw,Ricky Ravenclaw,Rowena Ravenclaw
43,"What was the name of the child who delivered Ron his parcels in Harry Potter and the Goblet of Fire?
",Creevy,Dennis,Collin,Nigel,Nigel
44,"Filch is a wizard in the Harry Potter books.
",False,True,,,False
45,"Who took over the Fat Ladys job after she was scared out of her portrait in Harry Potter and the Prisoner of Azkaban?
",Sir Cadogan,Trolls,Sirius Black,Sir Delaney Patrick-Podmore,Sir Cadogan
46,"Who lost the list of passwords for the Gryffindor tower in Harry Potter and the Prisoner of Azkaban?
",Dean Thomas,Neville Longbottom,Ron Weasley,Padma Patil,Neville Longbottom
47,"In Harry Potter and the Half-Blood Prince, who was bitten by the werewolf Fenfir Greyback?
",Ron,Bill,Charlie,Percy,Bill
48,"Who killed Dumbledore in Harry Potter and the Half-Blood Prince?
",Professor Binns,Lucius Malfoy,Professor Snape,Bellatrix Lestrange,Professor Snape
49,"What is James Potter called by Lily Evans in Harry Potter and the Order of the Phoenix?
","A bullying, selfish git",A big-headed git,"A selfish, bullying toerag",An ignorant git,"A selfish, bullying toerag"
50,"What house was Cho Chang in, as explained in Harry Potter and the Prisoner of Azkaban, Order of the Pheonix, and Goblet of Fire?
",Griffyndor,Slytherin,Hufflepuff,Ravenclaw,Ravenclaw
51,"Who gave Dudley a pigs tail using a pink umbrella in the book Harry Potter and the Philosophers Stone?
",Draco Malfoy,Rubeus Hagrid,Vernon Dursley,Harry Potter,Rubeus Hagrid
52,"Does Harry arrive at Privet Drive with Dumbledore in the first book of the Harry Potter series?
",No,Yes,,,No
