,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"The controversial lyrics of this song by The Rolling Stones include, Its Down to me, the way she talks when shes spoken to
",Heart of Stone,Under My Thumb,Play With Fire,Its All Over Now,Under My Thumb
1,"Mick Jagger sings Baby, baby, theres fever in the funk house now on this song.
",Tumbling Dice,Gimme Shelter,Street Fighting Man,Jumpin Jack Flash,Tumbling Dice
2,"Lose Your Dreams and you will lose your mind are lyrics from this 1967 hit by The Rolling Stones.
",As Tears Go By,(I Cant Get No) Satisfaction,Shes A Rainbow,Ruby Tuesday,Ruby Tuesday
3,"Part of this song by The Rolling Stones goes, We decided that we would have a soda - my favorite flavor, cherry red?
",Jumpin Jack Flash,Hot Stuff,Mothers Little Helper,You Cant Always Get What You Want,You Cant Always Get What You Want
4,"The lyrics of this song by the Rolling Stones include the phrase Rape, murder!
",Sympathy for the Devil,Street Fighting Man,Harlem Shuffle,Gimme Shelter,Gimme Shelter
5,"Jon Bon Jovi, Richie Sambora, Alex John Such, Tico Torres, Dave Bryan
",Bon Jovi,Whitesnake,Cinderella,Def Leppard,Bon Jovi
6,"Don Dokken, George Lynch, Jeff Pilson, Mick Brown
",L. A. Guns,Guns N Roses,Faster Pussycat,Dokken,Dokken
7,"Bret Michaels, Bobby Dall, Rikki Rockett, C.C DeVille
",Cinderella,Poison,New York Dolls,Motley Crue,Poison
8,"Fred Coury, Tom Keifer, Eric Brittingham, Jeff LaBar
",Great White,Cinderella,Ratt,Whitesnake,Cinderella
9,"David Coverdale, Rudy Sarzo, Tommy Aldridge, Steve Vai
",Great White,Poison,Tesla,Whitesnake,Whitesnake
10,"Dave The Snake Sabo, Rachel Bolan, Sebastian Bach, Rob Affuso, Scott Hill
",Bon Jovi,W.A.S.P,Motley Crue,Skid Row,Skid Row
11,"Tommy Lee, Vince Neil, Nikki Sixx, Mick Mars
",Poison,Great White,Whitesnake,Motley Crue,Motley Crue
12,"Audie Desbrow, Jack Russell, Michael Lardie, Tony Montana, Mark Kendall
",Motley Crue,Poison,Great White,Whitesnake,Great White
13,"Troy Luccketta, Brian Wheat, Frank Hannon, Tommy Skeoch, Jeff Keith
",Metallica,Iron Maiden,Tesla,Twisted Sister,Tesla
14,"James Hetfield, Lars Ulrich, Kirk Hammett, Jason Newsted
",Metallica,Metal Church,Twisted Sister,Testament,Metallica
15,"Every breath you take
",ery bond you break,ery ...,step you take,cake you bake,ery move you make
16,"Well I guess it would be nice
",know not everybody,.,Has got a body like you,Does the dishes like you, I could touch your body
17,"Everybodys talking all this stuff about me
",dont need permission,.,Make my own decisions oh,Dont you know my precision oh,y dont they just let me live (Tell me why)
18,"If I fail, if I succeed
", matter what they take from me,.,They cant take away my dignity,They cant take away my beat, least Ill live as I believe
19,"Sleight of hand and twist of fate
",d I wait without you,th or without you,th or without you,rough the storm we reach the shore, a bed of nails she makes me wait
20,"That its only the thrill 
",posites attract ,s physical ,ly ...,logical, boy meeting girl 
21,"I have seen the writing on the wall.
",! dont think Ill need anything at all.,l in all it was all just ...,bricks in the wall,tracks in the snow,nt think I need anything at all.
22,"Gonna give you all my love, boy
",en saving it all for you,use ...,only love can last,youre my last, fear is fading fast
23,"And shell tease you
",l the better just to please ya,"es precocious, and she knows just",at it takes to ...,make a pro blush,ell unease you
24,"Burning the ground I break from the crowd
","smell like I sound, ...",Im lost and Im found,because Im a hound,I feel that you are around, on the hunt Im after you
25,"This was the first digitally recorded track to become a hit in 1980.
",Dirk Wears White Soxs,Mirror in the Bathroom,We Dont Talk anymore,Zenyatta Mondatta,Mirror in the Bathroom
26,"This song was the top single in 1981.  This song broke the US Top 100 chart longevity record by spending 106 weeks on it.
",Tainted Love,Dead Ringer,Oh Julie,One Day in Your Life,Tainted Love
27,"This hit of Olivia Newton-John and its video made athletic wear fashionable in 1981.
",Karma Chameleon,Synchronicity,Physical,Blue Monday,Physical
28,"In 1983 Michael Jackson released this album which sold more than 25 million copies.
",Dangerous,Thriller,Blood on the Dance Floor,Bad,Thriller
29,"This was the first western group to perform in China. They went there in 1985.
",Wham!,The Bee Gees,The Smiths,Dire Straits,Wham!
30,"In 1987 this album of Guns N Roses made huge success on both sides of the Atlantic. In the UK it stayed on the charts for 131 weeks and in the US it was on for 147 weeks.
",14 Years,Lose Your Illusion I,Lose Your Illusion II,Appetite For Destruction,Appetite For Destruction
31,"In 1981 MTV was first shown in this city, and the first video to be broadcasted was Video Killed the Radio Star by The Buggles.
",Miami,New York,San Francisco,Washington,New York
32,"In 1988 this song by Bobby McFerrin became one of the most overplayed songs of the century.
","Dont Worry, Be Happy",Circlesongs,Beyond Words,Bang! Zoom,"Dont Worry, Be Happy"
33,"This was the last number 1 album of Police with the hit single Every breath you take. It appeared on the UK charts in 1983.
",Synchronicity,Zenyatta Mondatta,Reggatta De Blanc,Ghost In The Machine,Synchronicity
34,"This was probably one of the most shocking deaths during the 80s. On December 8, 1980 this member of the Beatles was shot.
",Paul McCartney,John Lennon,Ringo Starr,George Harrison,John Lennon
35,"Six oclock already I was just in the middle of a dream
",Bangles,Bangles,Bananarama,Go-Gos,was kissing Valentino by a crystal blue Italian stream
36,"And there are voices that want to be heard
",Roxette,Kim Carnes,Roxette,Bangles, much to mention but you cant find the words
37,"Fab Five Freddy told me everybody was fly
",Blondie,Blondie,Go-Gos,Annie Lennox," spinning I said, My, My"
38,"Lying in my bed I hear the clock tick and think of you
",Cyndi Lauper,Kim Carnes,Bananarama,Roxette,ught up in circles confusion is nothing new
39,"Goddess on a mountain top burning like a silver flame
",Bananarama,Go-Gos,Roxette,Bananarama,e summit of beauty and love and Venus was her name
40,"Then it happened one day, we came round the same way
","said Please, please understand", in love with another man,Heart,Cyndi Lauper,u can imagine his surprise when he saw his own eyes
41,"Show me a smile then, 
",en I last saw you laughing,Cyndi Lauper,Annie Lennox,Pat Benetar,"nt be unhappy, cant remember"
42,"We are young, heartache to heartache we stand
",Pat Benatar,Kim Carnes,Blondie,Pat Benatar," promises, no demands"
43,"Do you hear them?
",lling lies but thats no surprise,Go-Gos,Roxette,Bangles,ey talk about us
44,"What country sensation made her acting debut in Tremors?
",Dolly Parton,LeAnn Rimes,Tanya Tucker,Reba McEntire,Reba McEntire
45,"What county singer starred in the move,The Gambler?
",Travis Trit,George Jones,Kenny Rogers,Dwight Yoakam,Kenny Rogers
46,"This country singer made her debut in Nine to Five.
",Reba McIntire,Tanya Tucker,Dolly Parton,Naomi Judd,Dolly Parton
47,"This country star, who starred in Slingblade, has been to Hollywood more than once.
",Willie nelson,Randy Travis,George strait,Dwight Yoakam,Dwight Yoakam
48,"This country star has acted with some of the best, as he did in the movie, Black Dog.
",Willie nelson,Travis Tritt,Randy Travis,Tim McGraw,Randy Travis
49,"This country singer preached a great sermon in the movie, The Redheaded Stranger.
",Travis Tritt,Johnny Cash,Randy Travis,Willie Nelson,Willie Nelson
50,"This actress portrayed country singer Patsy Cline in the movie, Sweet Dreams.
",Jessica Lange,Beverly DAngelo,Reba McIntire,Sissy Spacek,Jessica Lange
51,"This country artist sang his heart out in the motion picture, Pure Country.
",Travis Tritt,Tim McGraw,Alan Jackson,George Strait,George Strait
52,"What country music singer and songwriter made an Oscar winning performance in Alice Doesnt Live Here Anymore?
",Waylon Jennings,Willie Nelson,Glen Campbell,Kris Kristofferson,Kris Kristofferson
53,"What country singer plays Dr. Clint Cassidy on TV show, Doc?
",Billy Ray Cyrus,Randy Travis,Travis Tritt,George Strait,Billy Ray Cyrus
54,"We did not see him, but this country music singer was the balladeer for the The Dukes of Hazzard TV series.
",Willie Nelson,Kris Kristofferson,Johnny Cash,Waylon Jennings,Waylon Jennings
55,"What country singer made his acting debut in Black Cloud?
",Tim McGraw,Travis Tritt,Willie Nelson,Dwight Yoakam,Tim McGraw
56,"Who played country singer, Hank Williams Jr. in Living Proof: The Hank Williams Jr. Story (1983) (TV)?
",George Hamilton,Richard Thomas,Kurt Russell,David Keith,Richard Thomas
57,"Who played country music legend, Hank Williams Sr. in Your Cheatin Heart (1964)?
",George Hamilton IV,Richard Thomas,George Hamilton,Travis Tritt,George Hamilton
58,"This actress played Loretta Lynn in Coal Miners Daughter (1980).
",Dolly Parton,Sissy Spacek,Beverly DAngelo,Jessica Lange,Sissy Spacek
59,"Who played with John Wayne in the 1969 motion picture, True Grit?
",Kris Kristofferson,Glen Campbell,Travis Tritt,Mel Tillis,Glen Campbell
60,"This country singer played in the 2004 remake of  the 1975 movie, The Stepford Wives, a story about 1950s housewives.
",Faith Hill,Tanya Tucker,Reba McIntire,Wynona Judd,Faith Hill
61,"Which movie is this soundtrack from?
",Blues Brothers,Gangsters,Scarface,Mafia,Blues Brothers
62,"In 1968, Janis Joplin recorded this song that begins with the line Sittin down by my window, Honey, lookin out at the rain.
",Turtle Blues,Piece of My Heart,Ball and Chain,Combination of the Two,Ball and Chain
63,"This 1967 hit that opens with the line You know that it would be untrue, you know that I would be a liar, was recorded by The Doors.
",Touch Me,Love Her Madly,People Are Strange,Light My Fire,Light My Fire
64,"Seattle-born Jimi Hendrix recorded this 1968 song that contains the lyrics: There must be some kind of way out of here, said the joker to the thief.
",Foxey Lady,All Along the Watchtower,Are You Experienced?,Purple Haze,All Along the Watchtower
65,"This song, released in 1967 by the group Steppenwolf from Toronto, Canada starts with the line Get your motor running, head out on the highway.
",Born to Be Wild,Screaming Night Hog,Magic Carpet Ride,Rock Me,Born to Be Wild
66,"Which song, released by The Rolling Stones in 1965, contains the following lyrics: I live in an apartment on the ninety-ninth floor of my block?
",Honkey Tonk Woman,Gimme Shelter,Brown Sugar,Get Off of My Cloud,Get Off of My Cloud
67,"Which song, released by The Who in 1965 begins with the lyrics: People try to put us down, just because weve been around?
",My Generation,Magic Bus,Behind Blue Eyes,Pinball Wizard,My Generation
68,"This song, included in the 1977 album by Fleetwood Mac, opens with the following lines: Now here you go again. You say you want your freedom.
",The Chain,Say You Love Me,Dreams,Tusk,Dreams
69,"In 1965, The Beatles sang the lyrics, I think Im gonna be sad, I think its today, yeah, that come from which song?
",Strawberry Fields Forever,Magical Mystery Tour,Norwegian Wood,Ticket To Ride,Ticket To Ride
70,"On a dark desert highway, cool wind in my hair is the opening line of which 1976 song, recorded by The Eagles?
",Tequila Sunrise,Life in the Fast Lane,Hotel California,Witchy Woman,Hotel California
71,"This hit, recorded in 1970 by Led Zeppelin, begins with the lyrics: We come from the land of the ice and snow, from the midnight sun where the hot springs blow.
",Whole Lotta Love,The Immigrant Song,Good Times Bad Times,Black Dog,The Immigrant Song
72,"What 80s song are these lyrics from?
",Whip It  by Devo,"Why Not Whippet, by Slim Whitman the Whipettes",Whipped Again  by Musical Youth,Whip It  by Devo,"en a problem comes along, you must whip it!"
73,"The following lyrics are from which 80s song and performer?
",Summer of 69 by Bryan Adams,Summer of Unleaded by John Gold,Guitar Hog by Pluck This String,Summer of 69 by Bryan Adams,"got my first real six-string, bought it at the five-and-dime"
74,"Which 80s song and performer are these lyrics from?
",Karma Chameleon by Boy George and Culture Club,Teen Design by Debbie Gibson,Kratwerk Kolors by The Mannheim Steamroller,Karma Chameleon by Boy George and Culture Club,"d , gold and green. Red, gold and green!"
75,"Which of the following lyrics are not from a song written in the 1980s?
","Hotel, motel, Holiday Inn!","Our house, in the middle of our street.","I want to tell her that I love her, but the point is probly moot!",I bless the rain down in Africa!,"Hotel, motel, Holiday Inn!"
76,"Name the song title and performer of these 80s lyrics:
",Africa by Toto,Johnny Loves Chachee!  by Bergman,Shout  by A-ha!,Africa by Toto,ping to find some old forgotten words or ancient melodies.
77,"What 80s song are these lyrics taken out of?
",Let the Music Play by Shannon,Synchronicity by Sting,Let the Music Play by Shannon,True by Spandau Ballet,e plan was we would share this feeling just between ourselves.
78,"Venus by Bananarama is the original version of the song.
",True,False,,,False
79,"In 1973 this singer, comedian and actress recorded The Night the Lights Went Out in Georgia, a song written by her husband, Bobby Russel.
",Carol Burnett,Phyllis George,Dorothy Lyman,Vicki Lawrence,Vicki Lawrence
80,"This group, formed in 1973 in Edinburgh, Scotland, had huge chart success in the UK with the song entitled Magic.
",The Poppy Family,Pilot,Bay City Rollers,Nazareth,Pilot
81,"This pop singer and songwriter, born in Montreal, Canada performed Rock Me Gently, a  #1 hit single on the American charts in 1974.
",Maria Muldaur,Tiny Tim,Donny Hathaway,Andy Kim,Andy Kim
82,"This band, formed in Nottingham in 1969, recorded the song The Night Chicago Died, which starts with the following words: My daddy was a cop on the east side of Chicago.
",Bo Donaldson and The Heywoods,Jigsaw,Terrry Jacks,Paper Lace,Paper Lace
83,"This Brazilian singer and songwriter became famous with his 1975 hit, Feelings.
",Dan Hill,Shaun Cassidy,Morris Albert,Rupert Holmes,Morris Albert
84,"This group, formed in 1969 at Rutgers University in New Jersey, had one #1 hit in 1972 -- Brandy (Youre A Fine Girl).
",Looking Glass,Foghat,Sweet,Fleetwood Mac,Looking Glass
85,"This band, formed in New York City, became famous in 1973 with the hit single Dancing in the Moonlight.
",King Vitamin,Krokus,King Harvest,King Crimson,King Harvest
86,"This performer and songwriter recorded the song, I Like Dreamin , which reached #3 on the Billboard singles chart in 1976 and stayed in the Top 40 for a 20-week run.
",Jimmy Greene,Michael Grey,Johnnie Whitaker,Kenny Nolan,Kenny Nolan
87,"This group released a cover of Brother Louie, a song about an interracial love affair, which begins with the words: She was black as the night, Louie was whiter than white.
",The Stories,Hot Tuna,Thin Lizzy,10cc,The Stories
88,"This Grammy-winning American songwriter and singer released her most successful single, At Seventeen in 1975, a song about teenage fears and anxiety.
",Jean Knight,Phoebe Snow,Melba Moore,Janis Ian,Janis Ian
89,"Busted flat in Baton Rouge
",was feeling nearly as faded as my _______,Jeans,Soul,Jeans,iting for a train
90,"The worst is over now
",wanna hold you high and steal ______,my pain,your wallet,my pain,d we can breathe again
91,"Call you up in the middle of the night 
",u were there like a ________,blowtorch burnin,flashlight shinin,blowtorch burnin,ke a firefly without any light
92,"Nothings true and nothings right 
",use you cant change the way I am,e you ___________,strong enough to be my man,ever gonna leave me alone, let me be alone tonight
93,"Ive seen your face a thousand times
",d I dont care about ________,"the sunshine, yeah","the weather, yeah","deception, yeah",ery day weve been apart
94,"Say it aint so
",rn the lights off,____________,Carry me home,Its too bright in here,will not go 
95,"Ones got a weasel and the others got a flag
",bag,bag,rag,jag,es on the pole shove the other in a  _______.
96,"Im so happy 
", so ugly ,ats okay cause so ________,are you,Im not scared,use today I found my friends theyre in my head
97,"I am a little bit of loneliness a little bit of disregard
",at everyone can see these ___________,scars,cars,wars,t thats okay cause I cant help the fact 
98,"Youll get the message by the time Im through
",me and you,that stinky shoe,the boys in blue,me and you,en I complain about ________
99,"This band from the 80s, formed in Leeds, England, had a huge hit in 1981 with Tainted Love.
",A-Ha,Soft Cell,Depeche Mode,Tears For Fears,Soft Cell
100,"What British one-hit wonder group struck gold in 1991 with their #1 hit the U.S, Im Too Sexy?
",The Tubes,Flock of Seagulls,Right Said Fred,Siouxee and The Banshees,Right Said Fred
101,"This American-born singer had a #1 hit in the U.S  with The Loco-Motion.
",Lucretia MacEvil,Little Eva,Beatrix Potter,Lesley Gore,Little Eva
102,"This American-born one-hit wonder singer/rapper had a #1 hit in 1990 with the song Ice, Ice Baby.
",Sir- Mix - Alot,Vanilla Ice,Kid Rock,Flynilla Ice,Vanilla Ice
103,"Which American-born  one-hit wonder singer/actress had a huge hit in 1982 with Mickey?
",Cyndi Lauper,Laura Nyro,Phoebe Snow,Toni Basil,Toni Basil
104,"This Jamaican-born singer struck gold in 1974 with his #1 U.S/U.K single Kung-Fu Fighting.
",Carl Weathers,Carl Douglas,Carl Thomas,Fred Douglas,Carl Douglas
105,"This American-born one-hit wonder singer had a #5 hit in the U.S. in 1967 with San Francisco (Be Sure to Wear Flowers In Your Hair).
",Scott McKenzie,Peter Tork,Desi Arnaz Jr.,John Phillips,Scott McKenzie
106,"Which Grammy Award-winning singer recorded the huge 1991hit Walking in Memphis?
",Benny Mardones,Norman Greenbaum,Marc Cohn,Curtis Stigers,Marc Cohn
107,"This one-hit wonder rapper/producer hit the big time in 1992 with Baby Got Back.
",MC Serch,MC Hammer,Sir Mix-a-Lot,Gerardo,Sir Mix-a-Lot
108,"This American one-hit wonder duo struck it rich in 1969 with their U.S  #1 hit In the Year 2525.
",Chad  Jeremy,Zager  Evans,Peter  Gordon,Proctor  Gamble,Zager  Evans
109,"This Canadian band came out with the song Safety Dance, which after being released in 1982 in the USA, soared to the top of the billboard charts.
",Men Without Hats,The Tubes,Asia,Flock of Seagulls,Men Without Hats
110,"The song Pac Man Fever was created after the video game Pac Man, which was a craze that swept the USA in the 80s. Who recorded the song in 1982?
",Buckner and Garcia,Rupert Holmes,Ashford and Simpson,Split Enz,Buckner and Garcia
111,"This singer performed the song Never Gonna Give You Up, which after being released in 1987, spent five weeks at the top of the British charts.
",David Lee Roth,Timmy T.,John Cougar,Rick Astley,Rick Astley
112,"In 1982 this progressive rock group released Heat Of The Moment, a song that reached #4 on US charts.
",Genesis,Toto,Survivor,Asia,Asia
113,"This Australian reggae-influenced rock band released their debut album Business As Usual in 1982.
",Culture Club,Kajagoogoo,Men Without Hats,Men At Work,Men At Work
114,"This Guyana-born musician released the song Electric Avenue which, in 1983, became both U.S. and UK number 2?
",Eddy Grant,Bob Marley,Ziggy Marley,Robbie Shakespeare,Eddy Grant
115,"This African American soul singer released the 1985 album Rock Me Tonight, which contains two Top 20 songs, You Are My Lady and Rock Me Tonight ( for Old Times Sake).
",Billy Ocean,Jermaine Jackson,Peabo Bryson,Freddie Jackson,Freddie Jackson
116,"This RB and dance music singer recorded her first album at the age of 12. The album, produced and arranged by  Van McCoy featured the disco tune When Youre Young and in Love.
",Cyndi Lauper,Stacy Lattisaw,Stacy Q,Pebbles,Stacy Lattisaw
117,"This British pop-reggae band recorded the hit Pass the Dutchie, one of the best-selling singles of 1982.
",New Edition,Musical Youth,Boyz to Men,The Jacksons,Musical Youth
118,"In 1987 this rock-jazz-pop band released their debut album entitled Its Better To Travel , which included the single Breakout.
",Will To Power,Swing Out Sister,The Pet Shop Boys,Shakespeares Sister,Swing Out Sister
119,"Jody Watley was a part of this disco-driven group, founded in the late 70s.
",K. C and The Sunshine Band,Chic,Shalamar,Mary Jane Girls,Shalamar
120,"Peter Wolf played with this popular rock and roll band in the 70s, that moved toward a more pop-influenced style in the 80s.
",J. Geils Band,The Knack,The Romantics,Aerosmith,J. Geils Band
121,"Although Limahl  was later fired after a disagreement, this group went to number 1 on the UK charts with his help.
",Duran Duran,Kajagoogoo,Modern English,A-Ha,Kajagoogoo
122,"Morrissey was a member of this British rock group from 1982 to 1987, before leaving to focus on his solo career.
",Pet Shop Boys,The Smiths,New Order,Spandau Ballet,The Smiths
123,"Which of these bands was Steve Winwood not a member of?
",Spencer Davis Group,Cream,Blind Faith,Traffic,Cream
124,"Jimmy Jam and Terry Lewis were members of The Time.
",False,True,,,True
125,"Don Henley was a vocalist, drummer, and guitarist with this group.
",Jefferson Starship,The Doobie Brothers,The Eagles,Fleetwood Mac,The Eagles
