,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"What is NOT one of Strong Bads favorite bands in the Internet cartoon Homestar Runner?
",sloshy,Peter Frampton,Limozeen,Taranchula,sloshy
1,"Speaking of the famous fairy tale, that girl with the long hair was named which of these plants?
",Rampion,Turnip,Lettuce,Safflower,Rampion
2,"Sleeping Beauty pricked her finger on the part of a spinning wheel that does this.
",Collects the finished thread,Powers the wheel,Twists the fibres into a thread,Sorts the finished threads,Twists the fibres into a thread
3,"Why does Cinderella wear a glass slipper?
",Glass shoes sound like something a princess would wear.,"Vair (fur), was mistaken for verre (glass).",They were a symbol of her purity.,Glass shoes were worn by royalty.,Glass shoes sound like something a princess would wear.
4,"The Little Mermaid refused to kill the prince, so she eventually ends up as this.
",A block-buster animated film.,Foam on the waves.,A mermaid again.,A daughter of the air.,A daughter of the air.
5,"Only one of the following descriptions of the features of Snow White is true.  Can you spot it?
",Hemophiliac lips.,Rosaceae cheeks.,Ice crystal eyes.,Wooden hair.,Wooden hair.
6,"Referring to a well-known fairy tale, the millers daughter had to spin what?
",Dried stalks of marsh plant.,Dry stalks of grass.,Dry stalks of corn.,Dry stalks of wheat.,Dry stalks of wheat.
7,"The witch in Hansel and Gretel was probably raised in this part of the world.
",England,Italy,Eastern Europe,The Middle East,Eastern Europe
8,"Referring to the popular fairy tale, what is the name of the goose girls enchanted horse?
",Saladin - righteousness,Fallow - pale in colour,Falada - to speak,Salada - white as salt,Falada - to speak
9,"Poor Eliza of the famous fairy tale, had to make eleven shirts of what plant?
",Belladonna,Urticaria,Belonidae,Urticaceae,Urticaceae
10,"How many siblings does Ron have?
",6,8,3,none,6
11,"What does Ron hate the most about himself?
",Being poor,Being the youngest boy in his family,Being unpopular,Not being in Slytherin,Being poor
12,"Who does Ron take to the Yule ball?
",Parvati Patil,Padma Patil,Hermione Granger,Ginny Weasley,Padma Patil
13,"Rons mom is part of the order of the phoenix.
",True,False,,,True
14,"What is Rons full name?
",Ronald Perkins Weasley,Ronald Arthur Weasley,Ronald J. Weasley,Ronald Bilius Weasley,Ronald Bilius Weasley
15,"Has Ron ever been dead?
",No,Yes,,,No
16,"Who is Rons idol?
",Oliver Wood,Cedric Diggory,Viktor Krum,Harry Potter,Viktor Krum
17,"In which of the first six books does Ron face Voldemort?
",Goblet of Fire,Never,Half-Blood Prince,Sorcerers Stone,Never
18,"Which charm did Doby the House Elf use to get Harry Potter in huge trouble with his Uncle?
",A clutter charm,A disturbance charm,A flutter charm,A hover charm,A hover charm
19,"What is the full name of Harry Potters Headmaster, as revealed in the 5th book?
",Albus Abelforth Wulfric Brian Dumbledore,Albus Nicholas Abelforth Dumbledore,Albus Percival Wulfric Brian Dumbledore,Albus Wulfric Nicholas Dumbledore,Albus Percival Wulfric Brian Dumbledore
20,"Aside from a bit of the person you wish to become, what are the other ingredients used to make Polyjuice Potion, as seen in the 2nd book of Harry Potter?
","Lacewing flies, leeches, powdered bicorn horn, knotgrass, fluxweed, and boomslang skin","Porcupine quills, leeches, lacewing flies, valerian roots, and boomslang skin","Powdered dragon horn, moonstone, lacewing flies, boomslang skin, dried nettles, and valerian roots","Moonstone, lacewing flies, boomslang skin, dried nettles, knotgrass, and bubotuber pus","Lacewing flies, leeches, powdered bicorn horn, knotgrass, fluxweed, and boomslang skin"
21,"In the first task of the Triwizard Tournament (Harry Potter and the Goblet of Fire ), each champion has to fight a different breed of dragon.  Which dragon does Fleur Delacour face?
",Swedish Short-Snout,Welsh Green,Hungarian Horntail,Chinese Fireball,Welsh Green
22,"At Harry Potters trial during the 5th book, Madam Bones refers to Harrys patronus a corporal patronus.  What makes Harrys patronus corporal?
",His patronus is strong enough to complete its intended task,His patronus is consistent enough to always have a defined shape to it,His patronus is so dependable that it becomes the same animal everytime,His patronus is so well developed it has a commanding presence whenever it is conjured,His patronus is consistent enough to always have a defined shape to it
23,"Harry Potters Dudley Dursley has had many traumatic encounters with wizards.  Which of the following has not happened to him?
",He gets a pigs tail,He breaks out in horrible zits,His tongue is enlarged to almost 4 feet,He gets attacted by dementors,He breaks out in horrible zits
24,"In the Harry Potter books, Fred and George invented a lot of products for their store, Weasleys Wizard Wheezes.  Which of the following products was not one invited by Fred and George?
",Self-Inking Quills,Fever Fudge,Coughing Cakes,Pygmy Puff,Coughing Cakes
25,"In Harry Potter and the Prisoner of Azkaban, Hermione is given a time turner so she is able to make it to all of her extra classes.  Which of the following classes does she not take?
",Arithmancy,Astronomy,Ancient Runes,Alchemy,Alchemy
26,"Who was the last person Harry talked to in the book?
",Hermoine,Ron,Dumbledore,Hagrid,Hermoine
27,"What did the Dursleys send Harry for Christmas?
",Nothing,An owl,A fifty pence piece,A sneak-o-scope,A fifty pence piece
28,"Rons sisters name is?
",Ginny,George,Ginger,Grace,Ginny
29,"Hermoine broke her wrist when she fell off a broom.
",True,False,,,False
30,"Who is the poltergeist that lives at Hogwarts?
",Pee-wee,Peeves,Pippy,Petry,Peeves
31,"What type of candy did Dumbledore offer McGonagell?
",Every Flavor Jellybeans,Lemon Drop,Cockroach Cluster,Mr. Goodbar,Lemon Drop
32,"Dudleys gang consisted of Piers, dennis, Malcolm and Gordon.
",False,True,,,True
33,"What was the name of the Muggle school Harry was to attend?
",Stonewall High,Yale,Stonebridge High,St. Brutus,Stonewall High
34,"Where did Harry buy his wand?
",Flourish  Blotts,Ollivanders,J.C. Penneys,Madame Malkins,Ollivanders
35,"Who breaks Harry Potters nose in Harry Potter and the Half-Blood Prince, the sixth novel in the series?
",Proffesor Snape,Lucious Malfoy,Draco Malfoy,Lord Voldemort,Draco Malfoy
36,"Does Draco Malfoy attempt to kill Dumbledore in the book Harry Potter and the Half-Blood Prince?
",Yes,No,,,Yes
37,"Initially Harry Potter and Ron did not like Hermione and considered her annoying, interfering and snobby.
",False,True,,,True
38,"Who does Harry Potter kiss in the book Harry Potter and the Half-Blood Prince, after Gryffindor wins the Quidditch Cup?
",Nobody,Ginny Weasley,Cho Chang,Hermione Granger,Ginny Weasley
39,"This fictional character suggests the name Dumbledores Army for the organization started by Harry, Hermione, and Ron in the book Harry Potter and the Order of the Phoenix.
",Luna Lovegood,Marietta Edgecombe,Cho Chang,Ginny Weasly,Ginny Weasly
40,"In which book of the Harry Potter series, Harry, Ron and Hermione start attending the Divination class, taught by Professor Trelawney?
",Harry potter and the Order of the Phoniex,Harry Potter and the Half-Blood Prince,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban
41,"In what year did J.K. Rowling receive an OBE (Order of the British Empire) from the Queen of England?
",1999,None of these,2000,2001,2000
42,"Which of the following items cannot be found in a colonial classroom?
",Quill pen,Fireplace,Crayon,Horn book,Crayon
43,"Colonial people spend some of their free time doing which of these?
",Skateboarding,Using a dishwasher,Reading McGuffey,Ordering pizza,Reading McGuffey
44,"From age 12 to 21, American activist and politician Benjamin Franklin did what?
",Went to school,Worked on his autobiography,"Worked on many inventions, including electricity",Worked as an apprentice,Worked as an apprentice
45,"In 1889, this person founded the Hull House, one of the first settlement houses in the U.S.
",Jane Addams,Harriet Tubman,Betty Ross,Florence Nightingale,Jane Addams
46,"Which of the following is a famous quote by John Paul Jones, the well-known American naval hero from the American Revolutionary War?
",I have a dream.,Give me liberty or give me death.,I have not yet begun to fight.,I shall return.,I have not yet begun to fight.
47,"Which of the following events is associated with Independence Day?
",Emancipation Proclamation,Louisiana Purchase,Declaration of Independence,Boston Tea Party,Declaration of Independence
48,"What year did Columbus first arrive on American land?
",1588,1498,1600,1763,1498
49,"You can see this animal around ant-hill. It is almost 6 feet long and it likes to eat ants.
",Dolphin,Seal,Anteater,Kangaroo,Anteater
50,"It is a big animal with brown fur and it likes eating fish and honey. It has 42 teeth.
",Fox,Bear,Cheetah,Horse,Bear
51,"This is a repulsive insect either black or brown. It can live a couple of weeks with its head cut off.
",Ant,Fly,Cockroach,Grasshopper,Cockroach
52,"This is a big and grey animal with wide ears and a trunk. It cannot hop.
",Elephant,Rabbit,Bear,Horse,Elephant
53,"This is a fluffy dog. It has a black-black or purple tongue.
",Chow Chow,Pitbull,Hound,Setter,Chow Chow
54,"This animal lives in Africa. It has a really long neck and eats leaves. It produces almost no sounds.
",Giraffe,Elephant,Zebra,Camel,Giraffe
55,"This animal is similar to a mouse but it is bigger. It can give birth to more than 160 babies in a year.
",Cat,Anteater,Rat,Weasel,Rat
56,"These animals are long and slim. They creep. Most of them can go an entire year without eating at all!
",Snakes,Frogs,Fish,Eel,Snakes
57,"These animals live in the sea. They are very friendly to humans. Although they resemble fish, they will drown if kept underwater for too long.
",Mackerel,Dolphins,Salmon,Tuna fish,Dolphins
58,"When this animal wants to defend itself, it throws a nasty smell toward its aggressor. This smell can be detected by a human a mile away.
",Skunk,Turbot,Horse,Deer,Skunk
59,"Which subject was Hermione not taking at 9am?
",Divination,Arithmancy,Muggle Studies,Potions,Potions
60,"How many people where at the dinner table before Professor Trelawney joined them?
",None of these is correct,9,13,12,12
61,"Who wrote A History of Magic?
",Batgut Buckshot,Bathilda Baghide,Hilda Bagshot,Bathilda Bagshot,Bathilda Bagshot
62,"Peter Pettigrew has his nose put in a box.
",False,True,,,False
63,"Who shot gum up Peeves left nostril?
",Professor Lupin,The Bloody Baron,Harry,Professor Lockhart,Professor Lupin
64,"Which pairing is not correct?
",James - Antlers,Pettigrew - Wormtail,Lupin - Moony,Sirius - Padfoot,James - Antlers
65,"What is the Minister of Magics name in book six?
",Scrimgeour,Weasly,Umbridge,Fudge,Scrimgeour
66,"Who is Tonks in love with?
",no one,Bill,Lupin,Ron,Lupin
67,"Who has the hots for Harry in the first half of the book?
",Ginny,Luna,Romilda,Cho,Romilda
68,"Which potion did Harry make to win a bottle of Liquid Luckin Chapter 9?
",Veritaserum,Draught of Living Death,Draught of Death,Felix Felicis,Draught of Living Death
69,"She is Tom Riddles mother.
",Lily,Mekare,Jane,Merope,Merope
70,"This was the password to the Griffindore Tower after Christmas break.
",abysmal,caput draconis,abstinence,abstraction,abstinence
71,"Who was not at Hermiones table in Herbology?
",Neville,Ron,They all were,Harry,Neville
72,"Tom Riddle worked for Florrish and Blott after he left Hogwarts.
",False,True,,,False
73,"Who is the author of the Harry Potter series of books?
",J.R. Rolling,J.R. Tolkien,J.K. Rowling,Gilderoy Lockhart,J.K. Rowling
74,"Harry Potter and the Chamber of Secrets, the second book in the Harry Potter series, was published in what year?
",2000,1989,2001,1998,1998
75,"In the book Harry Potter and the Chamber of Secrets, during the summer break Harry gets a visit from a character named Dobby. What kind of creature is Dobby?
",a house dwarf,a house Imp,a house nymph,a house elf,a house elf
76,"This fictional character, introduced in the book Harry Potter and the Chamber of Secrets, was teacher of the class called Defense Against the Dark Artsand five-time winner of Witch Weeklys Most Charming Smile Award.
",Lupin,Stan Shunpike,Gilderoy Lockhart,Rowling,Gilderoy Lockhart
77,"In the book Harry Potter and the Chamber of Secrets, Harry and Ron take a ride with the flying Ford Anglia and crash into what kind of tree?
",a black willow tree,a whomping willow tree,a deadwood Tree,a weeping willow tree,a whomping willow tree
78,"This fictional character from the book Harry Potter and the Chamber of Secrets is a ghost ,who haunts the second floor girls lavatory at Hogwarts School for Witchcraft and Wizardry.
",Moaning Molly,Moaning Martha,Moaning Myrtle,Moaning Mary,Moaning Myrtle
79,"Which character of the Harry Potter series of books opens the Chamber of Secrets?
",Cho Chang,None of these,Draco Malfoy,Ginny Weasley,Ginny Weasley
80,"What is the language of snakes, spoken by some of the characters in the Harry Potter books?
",parseltongue,none of these,parsellanguage,parselspeak,parseltongue
81,"The fictional Hogwarts School of Witchcraft and Wizardry is geographically located in which part of the United Kingdom?
",Wales,Scotland,England,Northern Ireland,Scotland
82,"How is the wizarding worlds newspaper, The Daily Prophet, delivered each morning in the Harry Potter novels?
",Workers of the Postal Union 151,Owl post,United Parcel Service,Postal carriage,Owl post
83,"According to the Harry Potter books, the Floo Network, or traveling using floo powder, means using what method of transportation?
",Internet,Fireplaces,Toilets,Fedex,Fireplaces
84,"Which of the following animals does NOT symbolize one of the four Hogwarts Houses, described in the Harry Potter series of books?
",Eagle,Panda,Serpent,Lion,Panda
85,"Hagrid, the keeper of the keys at Hogwarts in the Harry Potter books, lives in this building on the edge of the Forbidden Forest.
","750 meter highrise, which is the tallest building in the wizarding world.",Wigwam,Wooden cabin,A miniature copy of the Tower of Piza,Wooden cabin
86,"In what type of vehicle did Ron and Harry Potter fly to Hogwarts from London?
",Ford Anglia,Apache helicopter,Boeing 767,Flying carpet,Ford Anglia
87,"While looking for the Sorcerers Stone, Ron and Harry Potter must play a life-size version of this game.
",Monopoly,Checkers,Chess,Scrabble,Chess
88,"This flying machine was owned by Sirius Black and used by Hagrid in his first appearance on Privet Drive.
",Hydroplane,Motorcycle,Lamborghini,Hot air balloon,Motorcycle
89,"In the Harry Potter universe, a hippogriff is a hybrid of what two animals?
",A hippopotamus and a vulture,An eagle and a lion,A hawk and a donkey,An eagle and a horse,An eagle and a horse
90,"In the Harry Potter books, if a person is a parselmouth, then he or she is able to understand what?
",Women,Snakes,Centaurs,Elfs,Snakes
91,"What do the rings on a tree tell us?
",how tall the tree is,how old the tree is,whether or not it is a fruit bearing tree,what type of tree it is,how old the tree is
92,"The path in which electricity travels is called an electric circuit.
",True,False,,,False
93,"Seasons change because the Earth is getting closer and further from the sun.
",True,False,,,False
94,"Stars vanish during the day.
",False,True,,,False
95,"There are 4 basic conditions needed to produce an echo.
",False,True,,,True
96,"What are the names of the four children in the story The Lion, the Witch and the Wardrobe?
","Peter, Annie, Alan, Lucy","Peter, Susan, Edmund, Sydney","Peter, Susan, Edmund, Lucy","Peter, Sally, Edward, Lucinda","Peter, Susan, Edmund, Lucy"
97,"Which character is the enemy of the four children in the movie The Chronicles of Narnia: The Lion, the Witch and the Wardrobe?
",The Red Witch,The Evil Witch,The Terrible Witch of the West,The White Witch,The White Witch
98,"In the movie The Lion, the Witch and the Wardrobe, Susan is the oldest of the four children.
",True,False,,,False
99,"In the movie The Lion, the Witch and the Wardrobe Edmund asked if the White Witch had what candy?
",Turkish Delight,Laffy Taffy,Jolly Rancher,Turkish Joy,Turkish Delight
100,"Is it true that in the movie The Lion, the Witch and the Wardrobe, Lucy discovered the wardrobe, while the children were playing hide and seek?
",Yes,No,,,Yes
101,"What was the colour of Susans eyes in the movie The Lion, the Witch and the Wardrobe?
",green,brown,hazel,blue,blue
102,"Is Peter the second of the Pevensie children to enter Narnia in the film The Lion, the Witch and the Wardrobe?
",No,Yes,,,No
103,"The action in the movie The Lion, the Witch and the Wardrobe begins in 1940 during a German bombing raid of London.
",False,True,,,True
104,"What is the name of the faun that Lucy meets in The Lion, the Witch and the Wardrobe?
",Taurus,Tamus,Tumnus,Timus,Tumnus
105,"The lion that the children meet in the end of the movie The Lion, the Witch and the Wardrobeis called Aslan.
",True,False,,,True
106,"Which of the following characters in the Harry Potter books is a poltergeist?
",Moaning Myrthle,Peeves,Nearly-headless Nick,The Bloody Baron,Peeves
107,"What is the name of the potion that grants good luck, mentioned in Harry Potter and the Half-Blood Prince?
",Felix Felicis,Polyjuice Potion,none of these,Avada Kedava,Felix Felicis
108,"Which of these characters kissed Harry after a lesson of DA in Harry Potter and the Order of the Phoenix?
",Hermione,Cho,Ginny,Blaise,Cho
109,"What group did Nearly-headless Nick never become a part of in Harry Potter and the Chamber of Secrets?
",The Order of the Phoenix,The Headless Hunt,The Triwizard Cup,The DA,The Headless Hunt
110,"Which of the following characters are described as trustworthy in Harry Potter and the Prisoner of Azkaban?
","James Potter, Remus Lupin, Sirius Black","James Potter, Remus Lupin","James Potter, Sirius Black, Peter Pettigrew",James Potter only,"James Potter, Remus Lupin, Sirius Black"
111,"According to the Harry Potter books, what is the full name of Dumbledore, the headmaster of Hogwarts School of Witchcraft and Wizardry?
",Albus Percival Dumbledore,Albus Wulfric Dumbledore,Albus Percival Wulfric Brian Dumbledore,He never revealed his full name in the books,Albus Percival Wulfric Brian Dumbledore
112,"Dumbledore was in contact with Sirius Black in Harry Potter and the Goblet of Fire.
",True,False,,,True
113,"In Harry Potter and the Half-Blood Prince, the half-blood prince tells Harry to do what to his potion?
",Stir clockwise until the potion turns as clear as water,Add a counterclockwise stir after every seventh clockwise stir,Stir counterclockwise until the potion turns as clear as water,Add a clockwise stir after every seventh counterclockwise stir,Add a clockwise stir after every seventh counterclockwise stir
114,"What kind of creature was Buckbeak from the book Harry Potter and the Prisoner of Azkaban?
",Manticore,Unicorn,Hippogriff,Bird,Hippogriff
115,"Who was the last person to talk to Harry at the end of Harry Potter and the Chamber of Secrets?
",Dudley,Ron,Hermione,Ms. Weasley,Hermione
116,"In the Harry Potter books, what is the name of Hagrids three-headed dog?
",Fluffy,Norbert,Aragog,Fang,Fluffy
