,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"What science did Aristotle define as 鈥榯he knowledge of immaterial being鈥?
",Psychology,Logic,Metaphysics,Philosophy,Metaphysics
1,"Which WWF group does this theme music belong to?
",Nation of Domination,D-Generation X,Legion of Doom,Hart Foundation,D-Generation X
2,"What position is former Major League Baseball player, Rollie Fingers famous for playing?
",Catcher,First Base,Pitcher,Third Base,Pitcher
3,"What position is former baseball player for the Cincinnati Reds, Johnny Bench famous for playing?
",Second Base,Shortstop,Catcher,Pitcher,Catcher
4,"Baltimore Orioles, Cal Ripken Jr. is most known for playing what position?
",Right Field,Catcher,Pitcher,Shortstop,Shortstop
5,"Steve Garvey is a famous former baseball player, who is known for playing what position?
",First Base,Shortstop,Third Base,Catcher,First Base
6,"What position is former Major League Baseball player, Joe Morgan most known to have played?
",Outfield,None of these,Second Base,Catcher,Second Base
7,"What position is former professional baseball player, Mike Schmidt famous for playing?
",Pitcher,Catcher,Third Base,Second Base,Third Base
8,"Which of these positions is former baseball player, Dwight Evans most famous for?
",Right Field,Pitcher,Second Base,Center Field,Right Field
9,"Successful Major League Baseball player and coach, Donald Edward Don Gullett, was famous for playing what position?
",Pitcher,Second Base,Right Field,Catcher,Pitcher
10,"Whitey Ford was a successful Major League Baseball player, who played in what position?
",Pitcher,First Base,Catcher,Shortstop,Pitcher
11,"Carlton Fisk was a successful Major League Baseball player, who played for 24 years with the Boston Red Sox and Chicago White Sox, in what position?
",Catcher,Pitcher,Left Field,None of the Above,Catcher
12,"The Pittsburgh Steelers of the 50s had a third string quarterback from Louisville, who was not making it. They cut him and he landed with the Colts. Who was he?
",Terry Bradshaw,Bert Jones Jr,Len Dawson,Johnny Unitas,Johnny Unitas
13,"Which was the first football team to win back to back Super Bowls with different coaches?
",San Francisco,Dallas,Miami,Pittsburgh,San Francisco
14,"How many points did Wilt Chamberlain score in his best game versus New York?
",71,100,82,99,100
15,"He is the youngest NBA player to score 10,000 points.
",Spud Webb,Kobe Bryant,Moses Malone,Michael Jordon,Kobe Bryant
16,"He is the shortest player ever to win the Slam Dunk Contest.
",Kobe Bryant,Spud Webb,Vince Carter,Tracy McGrady,Spud Webb
17,"He retired with the NBAs highest scoring average (30.1 points per game).
",Jarmaine ONeal,Shaquille ONeal,Dwyane Wade,Michael Jordan,Michael Jordan
18,"Karl Malone received the award Most Valuable Player in 1996-97. What team did he play for?
",Sacramento Kings,Miami Heat,LA Lakers,Utah Jazz,Utah Jazz
19,"He is the NBAs All-Time scorer.
",Kareem Abdul-Jabbar,Ken Johnson,Clyde Lovelette,Michael Jordan,Kareem Abdul-Jabbar
20,"Wilt Chamberlain is a great player indeed. In a game against the Celtics he made the best rebounding effort ever. How many rebounds did he make in this famous game?
",16,57,55,31,55
21,"Who is the first player to top 20,000 points in NBA?
",Bob Pettit,Spud Webb,Clyde Drexler,Wilt Chamberlain,Bob Pettit
22,"George Muresan and Manute Bol are the tallest players in NBA history. How tall are they?
",77 (2.31m),72 (2.18m),78 (2.33m),74 (2.23m),77 (2.31m)
23,"Who is the shortest player in the history of NBA?
",Tyronne Bogues,Spud Webb,Larry Bird,Eddie Griffin,Tyronne Bogues
24,"He was a player, coach, and owner  -all for one team. He was also instrumental in developing the NFL.
",Wellington Mara,George Halas,Red Grange,Pete Rozelle,George Halas
25,"This college and pro great had a very strange nickname -Crazy Legs.   His last name was Hirsch.  What was his real first name ?
",Lester,Arnie,Cliff,Elroy,Elroy
26,"Compton Junior College gave us this all-time great runner, who played fullback and was nicknamed Joe the Jet.
",Battles,Neale,Sanders,Perry,Perry
27,"His real name is Yelverton Abraham, and he played for San Francisco as well as the NY Giants. He attended LSU.
",Motley,Strong,Groza,Tittle,Tittle
28,"This great sportsman was the first football player to be all-pro at defensive back one year and running back another.
",Grange,Thorpe,Gifford,Haynes,Gifford
29,"This quarterback was cut by the Steelers and picked up by another team, played in high tops, and his teammates include Lenny Moore and Steve Myhra.
",Terry Bradshaw,Johnny Unitas,John Brodie,Norm Van Brocklin,Johnny Unitas
30,"This great defensive end came from South Carolina State and played for the Rams. He is credited with inventing the head slap move.
",Lamar Lundy,David Jones,Merlin  Olsen,Rosy Grier,David Jones
31,"This great running back was once traded for eleven players.  He had great speed and great moves, returned kicks, caught passes, and ran the ball.
",Barry Sanders,Ollie Matson,Dick Lane,Marcus Allen,Ollie Matson
32,"This great football player is known for catching the immaculate reception .
",O.J. Simpson,Lynn Swann,John Stallworth,Franco Harris,Franco Harris
33,"Many of the greatest coaches, both pro and college, trace their learning to Miami University of Ohio and the teachings of this coaching great, who led Cleveland to many championships.
",Woody  Hayes,Weeb Ewbank,Paul Brown,Don Shula,Paul Brown
34,"When did Miami Heat enter the NBA?
",1988,1974,1963,1958,1988
35,"How many teams does the Atlantic Division of the Eastern Conference have?
",7,4,10,5,5
36,"Larry Brown led this team from 1997 to 2003.
",Chicago Bulls,LA Lakers,Denver Nuggets,Philadephia 76ers,Philadephia 76ers
37,"Mark Price, Larry Nance, Brad Daugerty, Shawn Kemp and Austin Carr have been chosen to be this teams all-time starting five.
",Cleveland Cavaliers,Philadelphia 76ers,Denver Nuggets,Houston Rockets,Cleveland Cavaliers
38,"This team is one of the five playing in the Southwest Division of the Western Conference. Tracy McGrady (as of 2005)  plays for this team.
",Houston Rockets,Minnesota Timberwolves,Utah Jazz,San Antonio Spurs,Houston Rockets
39,"Arguably the most famous NBA team. Michael Jordan played for this team.
",Miami Heat,Utah Jazz,Sacramento Kings,Chicago Bulls,Chicago Bulls
40,"Which division do the Sacramento Kings play in?
",Southwest Division of the Western Conference,Atlantic Division of the Eastern Conference,Pacific Division of the Western Conference,Central Division of the Eastern Conference,Pacific Division of the Western Conference
41,"This team drafted and then exchanged for another player Chris Webber in 1993.
",Orlando Magic,Sacramento Kings,Golden State Warriors,Miami Heat,Orlando Magic
42,"This team won its first division title in the 1969-70 season, when Spencer Heywood signed with the club.
",Philadelphia 76ers,Detroit Pistons,Chicago Bulls,Denver Nuggets,Denver Nuggets
43,"This team moved to Detroit in 1957. It was founded by Fred Zollner in 1940.
",Knicks,Warriors,Pistons,Lakers,Pistons
44,"Which of these people founded the World Wrestling Entertainment, Inc?
",Hulk Hogan,Shane McHamon,Vincent McMahon,Ric Flair,Vincent McMahon
45,"Professional wrestler Ric Flair was once manager of the WWEs RAW brand.
",True,False,,,False
46,"In professional wrestling, the high side thrust kick, often used by Shawn Michaels as a finishing move, is also known by what name?
",Leg Drop,Sweet Chin Music,Batista Bomb,5 Star,Sweet Chin Music
47,"RAW wrestling star Kurt Angle was shaved on stage after a match with Edge in 2002.
",True,False,,,True
48,"Has wrestler Bret Hart been inducted in the WWE Hall of Fame?
",Yes,No,,,Yes
49,"What number did Hank Aaron wear for the Atlanta Braves?
",26,44,7,15,44
50,"In Major League Baseball, first and second bases are this far apart.
",85,95,90,93,90
51,"How many home runs did Hank Aaron hit in his career?
",609,625,750,755,755
52,"How many innings are in a Little League baseball game, excluding extra innings?
",6,5,8,7,6
53,"How many games are in a Major League Baseball season per team?
",155,162,160,170,162
54,"For what team did Tony Dorsett play after he left the Cowboys?
",Houston Oilers,Minnesota Vikings,Pittsburgh Steelers,Denver Broncos,Denver Broncos
55,"In what year did Roger Staubach win the Heisman Trophy?
",1963,1962,1965,1964,1963
56,"The Cowboys had the first selection in the 1974 draft. Who did they take?
",Tony Dorsett,Thomas Henderson,Ed Too Tall  Jones,Randy White,Ed Too Tall  Jones
57,"Troy Aikman graduated from UCLA, but where did he begin his college career?
",Miami,Stanford,Oklahoma,Texas,Oklahoma
58,"Which of these players won the Super Bowl MVP despite his teams loss?
",Roger Staubach,Harvey Martin,Randy White,Chuck Howley,Chuck Howley
59,"The Cowboys were originally called the Dallas Texans.
",True,False,,,False
60,"Which of these Cowboys won the Super Bowl XII MVP trophy?
",Harvey Martin,Tony Dorsett,Duane Thomas,Michael Irvin,Harvey Martin
61,"Chicago Bulls drafted this player in 1984, who is probably the best in the NBA ever. He played his final game on April 16, 2003.
",Shaquille ONeal,Magic Johnson,Kevin Garnett,Michael Jordan,Michael Jordan
62,"He was selected by the Phoenix Suns in the first round (15th pick overall) of the 1996 NBA Draft.  In 2005 he was awarded MVP (most valuable player).
",Carmelo Anthony,Karl Malone,Kobe Bryant,Steve Nash,Steve Nash
63,"Rashard Lewis was the 3rd pick in 1998.
",False,True,,,False
64,"He was drafted in 2002 by Phoenix Suns, right after Nikoloz Tskitishvili , Dajuan Wagner, Nene, and Chris Wilcox.
",Shawn Kemp,LeBron James,Jason Kidd,Amare Stoudemire,Amare Stoudemire
