,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"I would rather be a ghost drifting by your side as a condemned soul than enter heaven without you. Because of your love, I will never be a lonely spirit. (2000)
",Don Juan DeMarco,Ever After,"Crouching Tiger, Hidden Dragon",Dracula,"Crouching Tiger, Hidden Dragon"
1,"There are only four questions of value in life. What is sacred? Of what is the spirit made of? What is worth living for? What is worth dying for? The answer to each is the same. Only love. (1995)
",When Harry Met Sally,Don Juan DeMarco,Cant Hardly Wait,Ten Things I Hate About You,Don Juan DeMarco
2,"I have crossed oceans of time to find you. (1992)
",Moulin Rouge,Notting Hill,A Knights Tale,Dracula,Dracula
3,"I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible. (1989)
",When Harry Met Sally,Wuthering Heights,Youve Got Mail,The Mask of Zorro,When Harry Met Sally
4,"Love has given me wings so I must fly. (2001)
",A Knights Tale,Phenomenon,Ever After,Forget Paris,A Knights Tale
5,"Love? Above all things I believe in love! Love is like oxygen! Love is a many splendored thing, love lifts us up where we belong, all you need is love! 
",Moulin Rouge,Hope Floats,Some Like It Hot,Casablanca,001)
6,"It doesnt matter if the guy is perfect or the girl is perfect, as long as they are perfect for each other. (1997)
",Forest Gump,The Shawshank Redemption,Citizen Kane,Good Will Hunting,Good Will Hunting
7,"I am someone else when Im with you, someone more like myself. (2001)
",Sunrise: A Song of Two Humans,Trouble in Paradise,In America,Original Sin,Original Sin
8,"If he loved you with all the power of his soul for a whole lifetime, he couldnt love you as much as I do in a single day. (1992)
",Romeo and Juliet,Wuthering Heights,Shakespeare in Love,Sideways,Wuthering Heights
9,"Take love, multiply it by infinity and take it to the depths of forever and you still have only a glimpse of how I feel for you. (1998)
",Moulin Rouge,My Best Friends Wedding,Message In A Bottle,Meet Joe Black,Meet Joe Black
10,"One of these James Bond movies was not released during the 80s.
",A View to a Kill,Octopussy,Moonraker,For Your Eyes Only,Moonraker
11,"It is a dark time for the
","ar has been destroyed,",perial troops have driven the,bel forces from their hidden,se and pursued them across,bellion. Although the Death
12," above-quoted opening scroll belongs to this movie.
",Back to the Future,The Final Countdown,The Hitch Hikers Guide to the Galaxy,The Empire Strikes Back,The Empire Strikes Back
13,"This is Babys real name in Dirty Dancing (1987).
",Barbara,Frances,Susan,Jennifer,Frances
14,"In A Nightmare On Elm Street, Nancy lives on Elm Street, located in this fictional city in Ohio.
",Derry,Ambervale,Springwood,Blackwood County,Springwood
15,"In the movie Rain Man, Raymond and Charlie are at the restaurant when a waitress drops a box of toothpicks. This prompts Raymond to instantly calculate the number of toothpicks on the floor. This was their number.
",246,250,321,123,246
16,"One of these actors did not star in Tootsie.
",Jessica Lange,Teri Garr,Dustin Hoffman,Larry Gelbart,Larry Gelbart
17,"Axel Foley in Beverly Hills Cop is originally a policeman from this city.
",Detroit,Chicago,Denver,San Fransisco,Detroit
18,"Indiana Jones from the movie of the same name could write and speak this number of languages.
",11,27,2,6,27
19,"A group of Earth children help a stranded alien botanist return home is the plot outline of this movie.
",Star Wars: Episode VI - Return of the Jedi,The Hitch Hikers Guide to the Galaxy,Cyborg,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial
20,"What year did the movie The Shawshank Redemption hit the movie theatres?
",1992,1994,1990,1996,1994
21,"What was the name of the Warden in the hit movie The Shawshank Redemption ?
",Byron Hadley,Samuel Norton,Ellis Redding,Spencer Heywood,Samuel Norton
22,"What decade was Andy Dufresne sent to the Shawshank prison in the movie The Shawshank Redemption?
",1940s,1920s,1930s,1950s,1940s
23,"In the popular movie The Shawshank Redemption Andy Dufresne has a poster hanging on his wall in his jail cell. Who is the famous actress on this poster?
",Greta Garbo,Jayne Mansfield,Rita Hayworth,Bette Davis,Rita Hayworth
24,"In the movie The Shawshank Redemption Andy Dufresne had a best friend in jail named Red. Why did they call him Red?
",He had red hair.,It was short for his last name.,His favorite color was red.,He had a horrible temper.,It was short for his last name.
25,"Andy Dufresne, the main character in the movie The Shawshank Redemption, asks Captain Byron Hadley for some suds for his fellow workers, while they are working together on the roof. What kind of beer did the prisoners get?
",Strohs,Budweiser,Amstel,Heineken,Strohs
