,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"What Hollywood actor portrayed Casanova in the 2005 movie entitled Casanova, based on the life of the popular adventurer?
",Johnny Depp,Antonio Banderas,Heath Ledger,Ryan Phillippe,Heath Ledger
1,"Which of these is NOT a son of Adam and Eve?
",Enoch,Cain,Abel,Seth,Enoch
2,"Noah sent these two birds out of the ark to search for land:
",raven and hawk,hawk and jay,raven and dove,dove and hawk,raven and dove
3,"Jacob had 12 sons.  Which of his wives/maids bore the most babies?
",Zilpah,Leah,Rachel,Bilhah,Leah
4,"Which of these animals did the Israelites worship while Moses was on the mountain?
",bull,calf,duck,ram,calf
5,"Many of King Solomons wise sayings are recorded in Book 10 of Proverbs.  Which of these is NOT found there?
","When you see trouble coming, dont be stupid and walk right into it--be smart and hide.","Good people are remembered long after they are gone, but the wicked are soon forgotten.","Children with good sense make their parents happy, but foolish children make them sad.",You will say the wrong thing if you talk too much--so be sensible and watch what you say.,"When you see trouble coming, dont be stupid and walk right into it--be smart and hide."
6,"Mary was visited by this angel.
",Uriel,Raphael,Gabriel,Michael,Gabriel
7,"Jesus was fond of using parables to give his messages.  Which of these was NOT one he used?
",The Parable of the Mustard Seed,The Parable of the Old Men and the Young,The Parable of the Prodigal Son,The Parable of the Ten Servants,The Parable of the Old Men and the Young
8,"Which of the Horsemen of the Apocalypse is the first to be called out?
",Black Horse (Famine),Red Horse (War),White Horse (Conquest ),Pale/Green Horse (Death),White Horse (Conquest )
9,"Complete the following quote from Matthew 5:3: Blessed are the poor in spirit, for ________
",they shall be comforted.,shall be called children of God.,they shall see Heaven.,theirs is the Kindgom of Heaven.,theirs is the Kindgom of Heaven.
10,"Who wrote the first five books of the Bible?
",Adam,Joseph,Moses,Abraham,Moses
11,"In the Bible, how many wives and concubines did Solomon have?
",2000,500,1000,100,1000
12,"Who wrote most of the books in the New Testament?
",David,John,Peter,Paul,Paul
13,"Who wrote the Book of Revelation while in exile?
",Paul,Peter,James,John,John
14,"According to the accepted theory, how old was Jesus when He was crucified?
",33,27,40,30,33
15,"How old was Jesus when He performed His first miracle (Biblical, not Apocriphal)?
",40,33,27,30,30
16,"David, the famous ancient King of Israel, was the oldest child in the family.
",True,False,,,False
17,"It is stated in the Bible that God told Moses to build the Temple in Jerusalem.
",True,False,,,False
18,"According to the New Testament, who obtained permission to take Jesus Christs body down from the cross and place it in the tomb?
",Joseph of Arimathea,Joseph of Antioch,Mary Magdalene,Apostle Peter,Joseph of Arimathea
19,"Apostle Paul was a kind, friendly and peace-loving man who always helped Christians even before his conversion to Christianity.
",False,True,,,False
20,"Seven people went on the ark with Noah according to the Bible, Genesis, chapters 6 to 9.
",True,False,,,True
21,"What was the profession of Luke the Apostle according to the New Testament?
",Tax collector,Carpenter,Physician,Boat builder,Physician
22,"Who committed the first murder in the Bible?
",Cain,Solomon,Adam,Abel,Cain
23,"Who was Gods son according to the Bible?
",John,Peter,Solomon,Jesus,Jesus
24,"What is the name of the angel that God sent to tell Mary she was to conceive Jesus?
",Abraham,Gabriel,Michael,Peter,Gabriel
25,"Who was Jesus earthly father according to the Bible?
",Solomon,Joseph,no one,David,Joseph
26,"Which of the following is not generally considered one of the seven deadly sins?
",obfuscation,hatred,lust,envy,obfuscation
27,"According to Matthew and Luke, in what city was Jesus born?
",Jerusalem,Bethlehem,Babylon,Nazareth,Bethlehem
28,"Can a deacon get married?
",No,Yes,,,Yes
29,"You drink the coffee and turn the cup upside down.  The reader predicts the future, deciphering various patterns formed inside the cup.
",Hakata,Scrying,I Ching,Tasseomancy,Tasseomancy
30,"This is a deck of 78 cards with pictures and inscriptions on them. They are divided into several suits and the person extracts cards that the reader interprets.
",Tarot,Cartopedy,Belote,Cledonism,Tarot
31,"This method of divination uses air and water. The person covers their head with a cloth, fill a vase with water and expose it to the air.  They whisper a wish over the vase. If bubbles show on the water surface, this is considered a positive sign and the wish will probably come true.
",Water scrying,Critomancy,Dowsing,Eromancy,Eromancy
32,"This method includes hexagrams which consist of six lines either solid or broken. Solid lines are considered strong and active, and broken lines stand for weak and acquiescent. These lines define the meaning of the hexagrams. Each hexagram has a different meaning. You determine your own hexagram by tossing 3 coins 3 times.
",Tarot,I Ching,Aura information,Astrology,I Ching
33,"This method of divination uses a set of 24 alphabet letters that are usually carved on small tiles, so that the person could extract one of all 24 and to interpret its meaning. They were also carved and drawn building walls for protection.
",Runes,Tarot,Palm reading,Shell scrying,Runes
34,"This is the careful screening of your palm, its shapes and lines in order to guess some events from the past and see events in the future.
",Palmistry,Cledonism,Tasseomancy,Cartopedy,Palmistry
35,"This method uses climate conditions to predict the future. It was considered that climate is the attitude of gods towards men, and that each atmospheric event had its own meaning.
",Cephalomancy,Aeromancy,Graphology,Bibliomancy,Aeromancy
36,"This method uses books for predicting ones future. The person should take a book, open to a random page and read a passage. Then he should interpret it.
",Geomancy,Bibliomancy,Hydromancy,Chiromancy,Bibliomancy
37,"This way of divination uses onion sprouts. First a ritual is held in order to state what the divination is about. Then the onion sprouts are put on an altar. It is thought that onion sprouts can tell you about friends and relatives who are far away, give love advice and answer yes or no questions about the future.
",Cromniomancy,Crystallomancy,Chirognomy,Cyclomancy,Cromniomancy
38,"This method uses birds to predict the future. The divinator scatters grains and then he carefully observes the way the birds peck at the grain.
",Austromancy,Captopromancy,Botanomancy,Alectryomancy,Alectryomancy
39,"In ancient times people thought that illnesses were caused by demons, possessing the soul of a person. So they cured those illnesses with exorcism. Exorcism is derived from the Greek word  exorkizein. What does this word mean?
",To kill the soul,To kill the ghost,To expel the demon,To bind by oath,To bind by oath
40,"Ancient Babylonian priests were one of the first exorcists. They meant to destroy the evil spirit, possessing the victim, by performing this ritual.
",They killed the possessed person by stabbing them with a sacrificial knife.,They destroyed a wax or clay image of a demon.,They drew mighty symbols on the forehead of the victim.,They drilled a hole in the skull of the possessed.,They destroyed a wax or clay image of a demon.
41,"Exorcism is not popular among religions nowadays.
",False,True,,,False
42,"Jesus Christ is considered to be an exorcist. One of the legends tells of Jesus casting out multiple demons from a madman. The spirits then entered the bodies of some animals. What kind of animals were they?
",Vultures,Pigs,Crows,Cows,Pigs
43,"Jesus Christ gave the power to exorcise demons to his disciples.
",True,False,,,True
44,"In Judaism the evil spirit that possesses the soul of its victim is called dybbuk. It is exorcised through this part of the body.
",Mouth,Chest,Small toe,Left Arm,Small toe
45,"The exorcist must feel as free of sin as possible. Why?
",So the exorcist does not die,So the exorcist can easily absorb the demons,So demons cannot easily possess the exorcist,So the possessed victim does not die,So demons cannot easily possess the exorcist
46,"Exorcism is related to ASC. What does ASC stand for?
",Affecting Spirit of Cataclysm,Affected Soul by Craziness,Affected Soul by Cabala,Altered State Of Consciousness,Altered State Of Consciousness
47,"During Christian exorcism, the victim is to hold a crucifix and the exorcist is encouraged to use holy water and relics. These  two other objects should also be present.
",Skull and Bones,Salt and Wine,Feather and Ink-pot,Sword and Shield,Salt and Wine
48,"Although all exorcisms proceed differently, some stages are common. There are five common stages - The Presence, Break-point, The Voice, The Clash and this.
",Expatriation,Expulsion,Deportation,Redemption,Expulsion
49,"Adam was the first human made by God according to the Bible texts.
",True,False,,,True
50,"The Ten Commandments can be found in the book of Exodus, New Testament.
",True,False,,,False
51,"According to the Bible, Gods laws were given to Moses on Mount Rushmore.
",True,False,,,False
52,"Moses talked to God on the mountain and received the Ten Commandments in 40 days.
",False,True,,,True
53,"Moses broke the tablets on which the Ten Commandments were written when he slipped on the rocky mountainside.
",True,False,,,False
54,"According to the Bible texts, Jesus earthly father Joseph was sheep herder.
",False,True,,,False
55,"In the Bible texts, 鈥淎m I my brother鈥檚 keeper?鈥 was a question asked by Cain to God.
",True,False,,,True
