,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"In how many provinces is the Dominican Republic divided?
",31,21,None of these,11,31
1,"This 1973 horror film was the second of many devilish movies.
",The Omen,The Exorcist,Rosemarys Baby,The Exorcism of Emily Rose,The Exorcist
2,"What movie title was translated in Mexico as title Grow, Run and Stumble?
",Rachel Getting Married,Juno,Four Friends,All or Nothing,Juno
3,"In Spain this movie title was translated as Pigs And Diamonds.
",Donnie Brasco,Snatch,Unforgiven,Marathon Man,Snatch
4,"To the Devil with the Devil is the Mexican title of this movie.
",Ghost Busters,Dogma,The Witches of Eastwick,Bedazzled,Bedazzled
5,"What movie title was translated in Mexico as Dumb But Not That Dumb?
",Besieged,Billy Madison,The Butterfly Effect,The Station Agent,Billy Madison
6,"What movie title was translated in Italy as Four Bastards for a Room in Hell?
",The Order,Horror,Hellboy,Shark!,Shark!
7,"No Rules in Love is the Italian title of this movie.
",Offside,Dear Frankie,The Blind Side,Leatherheads,Leatherheads
8,"The Secret Is In the Sauce is the French title of this movie.
",Waitress,Fried Green Tomatoes,Paul Blart: Mall Cop,Cure,Fried Green Tomatoes
9,"The Teeth From the Sea is the French title of this movie.
",Jaws,Shark in Venice,The Reef,Open Water,Jaws
10,"This war movie is titled Voyage to the End of Hell in France.
",Sealed Cargo,The Deer Hunter,Voyage of the Damned,A Tale of Five Cities,The Deer Hunter
11,"What movie was titled Sexy Dance in France?
",Delhi Belly,Step Up,Billy Elliot,Biloxi Blues,Step Up
12,"A Supertough Kangaroo is the Spanish title of this movie.
",Chocolat,Mogambo,The Pacifier,Crocodile Dundee,The Pacifier
13,"Breaking the Ice is the Spanish title of this movie.
",The Incredibles,Happy Feet,The Last Airbender,The Golden Compass,Happy Feet
14,"Airport Attack is the Portuguese title of this movie.
",Snakes on a Plane,Heat,Delta Force 2,Die Hard 2,Die Hard 2
15,"What movie title was translated i Portugal as A Very Crazy Dead Man?
",Weekend at Bernies,Kiss Kiss Bang Bang,Shaun of the Dead,Waking Ned,Weekend at Bernies
16,"The 8th Passenger is Death is the Hungarian title of this movie.
",Alien,The Sky Dragon,Broken Flowers,Taxi Driver,Alien
17,"Popes have always been elected to their position by the College of Cardinals.
",False,True,,,False
18,"How many votes from the College of Cardinals does it take to declare a new Pope?
",Half of the votes plus one,Two thirds of the votes,Half of the votes,Two thirds of the votes plus one,Two thirds of the votes plus one
19,"What was the longest interregnum between popes?
",14 months,8 months,Two years and 9 months,Five years and 2 months,Two years and 9 months
20,"Can any baptized male be elected Pope?
",Yes,No,,,Yes
21,"White smoke has always been used to announce the choosing of a new pope.
",False,True,,,False
22,"All cardinals are appointed to their positions by a pope. Can they all vote for a new pope when the time comes?
",No,Yes,,,No
23,"Urban VII set a record for the shortest papacy. How many days was he in office?
",184 days,33 days,102 days,12 days,12 days
24,"If you were elected pope, what would your chances of becoming a saint be?
",1 out of 10,1 out of 3,1 out of 6,1 out of 4,1 out of 3
25,"Why do popes wear white?
",It was a fashion trend in 1566 brought on by the newly elected Pope Pius V.,It symbolizes pure light.,It is easy to recognize him in a crowd.,It signifies that the pope will not get dirty.,It was a fashion trend in 1566 brought on by the newly elected Pope Pius V.
26,"Who was the first pope to change his name?
","Pope Innocent XIII, formerly Michaelangelo","Pope Pius III, formerly Francesco","Pope Sylvester II, formerly Gerbert","Pope John II, formerly Mercury","Pope John II, formerly Mercury"
27,"I made a pun in springtime. (Next sentence, please)
",It was really winter,It was a May zing.,It was amazing.,It was stupid,It was a May zing.
