,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"Urban Meyer left the head coach position at the Utah Utes to become head coach of this team.
",Florida St.,Bowling Green,University of Florida,University of Miami,University of Florida
1,"Jack Bauer, Nina Myers and George Mason are three of the characters of this TV series.
",24,3 South,60 Minutes,20/20,24
2,"Harry Solomon, Dick Solomon and Dr. Mary Albright.
",Battlestar Galactica,3rd Rock from the Sun,The A-Team,7th Heaven,3rd Rock from the Sun
3,"The annoying neighbours, the Ochmoneks are from this TV show.
",Dawsons Creek,ALF,Beverly Hills 90210,All My Children,ALF
4,"One of these characters is not from Baywatch.
",Hobie Buchannon,Jill Riley,Kelly Taylor,Craig Pomeroy,Kelly Taylor
5,"Gilbert (Gil) Arthur Grissom is the night shift team supervisor from this TV show.
",The City,CSI: Crime Scene Investigation,CSI: New York,CSI: Miami,CSI: Crime Scene Investigation
6,"One of these ER characters is not a doctor.
",Gregory Pratt,Ray Barnett,Dave Malucci,Samantha Taggart,Samantha Taggart
7,"This was one of the best known bosses of Fred Flintstone.
",Mr. Jones,Mr. Slate,Mr. Garret,Mr. Smith,Mr. Slate
8,"Julie Cooper and Summer Roberts are two characters from this TV series.
",Dawsons Creek,The O.C.,Beverly Hills 90210,One Tree Hill,The O.C.
9,"Charlotte York, Miranda Hobbes and Samantha Jones are female characters from this TV show.
",Desperate Housewives,Sex and the City,Gilmore Girls,Smallville,Sex and the City
10,"Kelly and Bud are the kids of a family depicted in this TV series.
",Married... with Children,Happy Family,The Partridge Family,All in the Family,Married... with Children
11,"What is the name of the episode of SpongeBob SquarePants in which Sponge and friends all had superpowers?
",Mermaid Man and Barnicle Boy 3,Fry Cook Games,Mermaid Man and Barnicle Boy 2,Bubblestand,Mermaid Man and Barnicle Boy 3
12,"Where does SpongeBob SquarePants live in the self-titled series?
",In a coconut,In an apple,In a pineapple,In a watermelon,In a pineapple
13,"Sandy Cheeks, the popular character from the animated series SpongeBob SquarePants, is from what state?
",Alaska,Florida,Texas,Georgia,Texas
14,"What is the secret ingredient of The Fake Krabby Patty, a sandwich mentioned in the series SpongeBob SquarePants?
",Jellyfish jelly,Extra salt,A cup of love,Four heaping pounds of plankton,Four heaping pounds of plankton
15,"What was the name of the toy shell SpongeBob and Patrick had with them in the Kelp Woods?
",Magic Clam shell,Hermit Crab Shell Toy,Spiral,Magic conch shell,Magic conch shell
16,"Where does the cartoon character SpongeBob work?
",Krusty Krab,Chum Bucket,Tuff Tavern,Beach Bums,Krusty Krab
17,"Which character from the animated series SpongeBob SquarePants spoke the words from the sound clip?
",Patrick Star,Squidward Tentacles,Mr.Crabs,Gary,Squidward Tentacles
18,"Which SpongeBob SquarePants character spoke the following words?
",Plankton,SpongeBob SquarePants,Gary,Squidward Tentacles,SpongeBob SquarePants
19,"Rachel from Friends moves to live with the rest of the friends after escaping her marriage to this man.
",Mark,Mike,Frank,Barry,Barry
20,"Alf from the sitcom series has very few friends outside the Tanners. One of them is the boy that lives with Trevor and Raquel Ochmonek. This is their relation to him.
",He is their adopted son.,He is their nephew.,He is their son.,He is their grandchild.,He is their nephew.
21,"Doctor Peter Benton was a fictional medical doctor on the television series ER from season one through season eight. What is characteristic of his son?
",He is mentally-challenged.,He is blind.,He is deaf.,He is a girl.,He is deaf.
22,"Jefferson DArcy is Marcys second husband in Married... with Children. She married him for money.
",True,False,,,False
23,"The last episode of Everybody Loves Raymonds ninth season depicts a medical accident that affects this character.
",Raymond,Frank,Marie,Debra,Raymond
24,"Rose (Kate Winslet) from Titanic (1997) is this old when the ship sinks.
",20,14,23,17,17
25,"Before Neo joins Morpheus and his group (The Matrix) he works as this.
",Scientist,Internet broker,Software programmer,He is unemployed,Software programmer
