,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"What year did the sensational movie The Departed first hit the theatres in the United States?
",2007,2004,2006,2005,2006
1,"What city is the movie The Departed set in?
",New York,Boston,Chicago,Los Angeles,Boston
2,"How does Billy Costigan tell Sullivans girlfriend (the criminal psychiatrist) that he is an informant for the Irish mob?
",meets her in an alley and divulges the information,sends her a tape/dvd in the mail,calls her on the phone,leaves her a note,sends her a tape/dvd in the mail
3,"Who kills Sgt. Colin Sullivan at the end of the movie The Deprated?
",Frank Costello,Billy Costigan,Capt. George Ellerby,Staff Sgt. Sean Dignam,Staff Sgt. Sean Dignam
4,"The last scene in the movie The Departed shows a rodent crawling on Sullivans balcony railing. The rodent appears after Sullivan was shot in the head. What type of rodent was it?
",a castoroides,a mouse,a capybara,a rat,a rat
5,"What year did the sensational movie Rocky first hit the movie theatres?
",1975,1976,1977,1978,1976
6,"This Emmy Award-winning comedy series was based on the lives of four women living together in Miami Beach, Florida.
",Golden Girls,Maude,Empty Nest,The Facts of Life,Golden Girls
7,"This actor won the Emmy Award for Outstanding Lead Actor in a Comedy Series for his part as the bumbling Jack Tripper in Threes Company.
",John Ritter,Alan Alda,Judd Hirsch,Richard Mulligan,John Ritter
8,"Michael J. Fox won three consecutive Emmy Awards for Outstanding Actor in a Comedy Series for his role as Alex Keaton in the hit comedy series Family Ties.
",True,False,,,True
9,"This comedy starring Don Adams won two Emmy Awards for Outstanding Comedy Series in 1968 and 1969.
",Get Smart,The Fugitive,Mission: Impossible,Rowan  Martins Laugh-In,Get Smart
10,"The 60s pop band The Monkees starred in their own show of the same name and won two Emmy Awards for Outstanding Comedy Series in 1966 and 1967.
",True,False,,,False
11,"Shelley Long and Kirstie Alley both won Emmy Awards for Outstanding Lead Actress in a Comedy Series for this perennial Emmy nominee.
",Cheers,Murphy Brown,Frasier,Mad About You,Cheers
12,"Despite its immense popularity during its entire ten-year run, this show won its only Emmy Award for Outstanding Comedy Series in 2002.
",Friends,Frasier,Will and Grace,Everybody Loves Raymond,Friends
13,"What year did the Academy Award-nominated film As Good As It Gets first hit the theatres in the United States?
",1997,1995,1998,1999,1997
14,"What actor plays the part of the homosexual artist Simon Bishop in the hit movie As Good As It Gets?
",Cuba Gooding Jr.,Jack Nicholson,Skeet Ulrich,Greg Kinnear,Greg Kinnear
15,"What actor plays the part of Simon Bishops agent and friend, Frank Sachs, in the great movie As Good As It Gets?
",Cuba Gooding Jr.,Jaheim Hoagland,Abuc Gnidoog,Cuba Gooding Sr.,Cuba Gooding Jr.
16,"What does Melvin Udall do for a living in the great movie As Good As It Gets?
",Writer,Doorman,Doctor,Software Engineer,Writer
17,"Why does Carol Connelly quit her job as a waitress in the restaurant in the movie As Good As It Gets?
",She wants to go to Hawaii but her boss wont give her time off.,She needed a break from Melvin and his antics.,She asked for a raise but didnt get it.,to take care of her chronically ill son,to take care of her chronically ill son
18,"At the end of the movie As Good As It Gets, Carol and Melvin who start a relationship together are walking somewhere. Where are they going to so early in the morning?
",airport,diner,DMV,bakery,bakery
19,"What year did the movie Major League first hit theaters in the U.S.?
",1989,1990,1988,1987,1989
20,"What was the name of the team of misfits in the film Major league?
",New York Mets,Philadelphia Phillies,Cleveland Indians,Los Angeles Dodgers,Cleveland Indians
21,"Willie Mays Hayes was not invited to the teams spring tryouts in the movie Major League.
",False,True,,,True
22,"In the movie Major League, the team started winning and were asked to do a TV commercial for a credit card company. For which company did they do this commercial that included the line, dont steal home without it, a variation of the companys actual slogan.
",Visa,Discover,American Express,Master Card,American Express
23,"Pedro Cerrano, played by actor Dennis Haysbert in the movie Major League, came to the U.S. as a defector from Cuba. He escaped for the purposes of religious freedom. What was his religion?
",Voodooism,Christianity,Judaism,Catholicism,Voodooism
24,"At the end of the movie Major League, the team of misfits beats the New York Yankees to win the World Series.
",False,True,,,False
25,"What year did Monsters, Inc. come out in the movie theatres in the United States?
",2004,2002,2001,2000,2001
26,"Monsters Inc. was a story set in the town of Minneapolis .
",True,False,,,False
27,"What is the name of Mike and Sulleys boss in the great animated feature, Monsters, Inc.?
",Jerry,Roz,Randall,Mr. Waternoose,Mr. Waternoose
28,"In the movie Monsters, Inc., Mike Wazowski takes his girlfriend Celia Mae out to dinner in what type of restaurant?
",Sushi,Sbarros,Bulgarian,McDonalds,Sushi
