,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
0,"LFD2 was banned in Australia.
",False,True,,,True
1,"One of the remnants of this states former status as a possession of France is the fact that it was named after a French king.
",Oklahoma,Florida,Louisiana,Georgia,Louisiana
2,"No state has as many different species of mammals as this one. The average square mile of land contains 1.4 elk, 1.4 pronghorn antelope, and 3.3 deer.
",Nebraska,Nevada,Colorado,Montana,Montana
3,"Arizona became the 48th state on February 14, 1912.
",False,True,,,True
4,"The largest lake in this state is Lake Okeechobee. The state is also home to one of the two naturally round lakes in the world.
",Hawaii,Tennessee,Florida,Alabama,Florida
5,"One of the following pairs (state - its capital) is wrong.
",Kentucky - Frankfort,Kansas - Topeka,Maine - Augusta,North Dakota - Fargo,North Dakota - Fargo
6,"The 3rd Monday in April is Patriots Day - a legal holiday in this state.
",California,Washington,Oregon,Massachusetts,Massachusetts
7,"Francis Drake was 66 years old at his inauguration and the oldest governor of this state.
",Nevada,Ohio,Minnesota,Iowa,Iowa
8,"What is the state capital of Washington?
",Olympia,Seattle,Walla Walla,Spokane,Olympia
9,"What is the state capital of Oregon?
",Bend,Portland,Eugene,Salem,Salem
10,"What is the state capital of California?
",Sacramento,Los Angeles,San Diego,San Francisco,Sacramento
11,"What is the state capital of Idaho?
",Boise,Idaho Falls,Pocatello,Coeur DAlene,Boise
12,"What is the state capital of Nevada?
",Reno,Las vegas,Carson City,Austin,Carson City
13,"What is the state capital of Utah?
",Cedar City,Provo,Price,Salt Lake city,Salt Lake city
14,"What is the state capital of Arizona?
",Phoenix,Kingman,Tucson,Flagstaff,Phoenix
15,"What is the state capital of Alaska?
",Kodiak,Juneau,Anchorage,Fairbanks,Juneau
16,"During World War II, this country was able to successfully defend its freedom and resist invasions by the Soviet Union - despite some loss of territory. It joined the European Union in 1995.
",Poland,Czech Republic,Finland,Lituania,Finland
17,"This country shares common boundaries with every South American country except Chile and Ecuador.
",Colombia,Argentina,Bolivia,Brazil,Brazil
18,"After gaining its independence in 1991, it has retained closer political and economic ties to Russia than any of the other former Soviet republics.
",Ukraine,Latvia,Bulgaria,Belarus,Belarus
19,"It was once the center of power for an empire.  Occupied by the allies in 1945, a state treaty ended its occupation in 1955 and recognized its independence.
",Belgium,Denmark,Austria,Hungary,Austria
20,"This country is home to the northernmost capital in mainland Europe?
",Sweden,Denmark,Finland,United Kingdom,Finland
21,"It is the sixth largest country and home of The Doctor breeze.
",Ukraine,Canada,Australia,United Kingdom,Australia
22,"Its three-year-old Socialist government was overthrown in 1973 by a dictatorial military regime led by Augusto Pinochet.
",Peru,Paraguay,Chile,Uruguay,Chile
23,"This country dominates the Aegian Sea and possesses an archipelago of about 2,000 islands.
",Italy,Cyprus,Greece,Turkey,Greece
24,"This country controls the Sinai Peninsula.  Following the completion of the Suez Canal in 1869, it became an important world transportation hub.
",Thailand,Egypt,Hong Kong,Libya,Egypt
25,"This countrys national holidays include:
","20 May (independence from US administration, 1902)",Rebellion Day 26 July (1953),Cuba,Palestine,"Independence Day, 10 December (date of independence from Spain, 1898) "
26,"The first American capital.  It has a nick name coined by musicians - it means  to play the big time.
",Washington D.C.,New York,Boston,San Francisco,New York
27,"The cable cars of this city are the only mobile National Monument.
",Oklahoma,San Francisco,Nevada,Los Angeles,San Francisco
